정류장명,정류장번호,일자,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
양촌 [김포골드라인],~,2025-09-21(일),0,0,3,0,3,4,12,13,21,9,25,12,17,27,18,13,28,15,21,8,28,7,23,6,14,14,21,15,12,24,9,20,3,14,8,10,1,5,0,12,0,1,0,0,0,0,0,0,
양촌 [김포골드라인],~,2025-09-22(월),0,0,10,0,50,20,85,33,49,84,20,49,14,14,23,14,15,11,9,15,15,12,36,15,51,21,69,19,67,28,19,32,12,21,3,12,0,6,3,6,3,3,0,0,0,0,0,0,
양촌 [김포골드라인],~,2025-09-23(화),0,0,7,0,43,16,88,34,49,77,28,55,13,21,16,20,25,11,24,18,24,24,33,9,37,21,63,14,78,13,19,42,15,18,3,16,2,5,0,11,0,1,0,0,0,0,0,0,
양촌 [김포골드라인],~,2025-09-24(수),0,0,11,0,50,21,91,30,47,80,23,53,25,10,14,12,26,14,12,10,7,11,18,5,41,18,57,13,65,19,14,30,6,25,4,16,2,9,1,17,0,3,0,1,0,0,0,0,
양촌 [김포골드라인],~,2025-09-25(목),0,0,8,0,37,15,88,30,40,75,31,49,13,13,20,11,16,10,19,13,14,14,22,9,47,19,68,18,72,39,14,24,9,21,4,10,1,15,0,9,0,3,0,1,0,0,0,0,
양촌 [김포골드라인],~,2025-09-26(금),0,0,7,0,37,19,68,22,58,74,30,46,18,21,26,14,19,14,20,18,15,17,26,10,41,21,71,19,54,18,16,30,17,21,2,10,4,22,4,6,0,9,0,0,0,0,0,0,
양촌 [김포골드라인],~,2025-09-27(토),0,0,6,0,14,11,15,8,31,13,33,14,28,13,30,15,24,18,33,22,27,7,31,17,25,11,28,21,14,12,13,17,5,8,3,3,6,13,1,19,0,1,0,0,0,0,0,0,
양촌 [김포골드라인],~,2025-09-28(일),0,0,4,0,2,5,15,8,21,13,12,9,17,12,16,5,35,6,29,3,15,6,15,1,15,8,11,16,9,8,6,28,3,9,3,9,4,19,0,10,0,0,0,0,0,0,0,0,
양촌 [김포골드라인],~,2025-09-29(월),0,0,9,0,47,17,79,31,49,82,26,49,16,25,18,9,16,10,18,16,14,13,38,8,47,29,54,16,77,30,16,28,16,16,3,9,3,17,1,10,0,6,0,0,0,0,0,0,
양촌 [김포골드라인],~,2025-09-30(화),1,0,9,0,36,18,83,23,38,82,28,53,9,14,26,12,17,9,18,11,17,14,19,15,47,16,71,20,65,20,13,19,6,16,5,10,1,10,1,10,0,4,0,1,0,0,0,0,
양촌 [김포골드라인],~,2025-10-01(수),0,0,6,0,43,19,87,25,42,86,22,49,19,14,18,15,17,8,20,7,20,14,22,12,45,24,72,19,61,20,14,39,11,12,7,20,1,10,2,16,0,5,0,0,0,0,0,0,
양촌 [김포골드라인],~,2025-10-02(목),0,0,8,0,42,17,76,23,49,68,27,48,15,13,22,7,14,17,20,14,24,19,46,16,43,22,56,12,36,29,11,19,7,20,6,16,2,3,0,17,0,9,0,1,0,0,0,0,
양촌 [김포골드라인],~,2025-10-03(금),0,0,6,0,8,5,15,13,23,12,19,11,20,14,23,8,16,13,24,21,27,13,27,14,31,16,24,18,23,12,11,9,4,13,3,9,2,9,1,10,0,4,0,0,0,0,0,0,
양촌 [김포골드라인],~,2025-10-04(토),0,0,6,0,9,5,12,7,21,1,19,5,24,11,20,15,22,6,28,13,37,18,20,12,20,13,27,25,14,13,8,16,10,5,3,19,5,14,2,14,0,2,0,0,0,0,0,0,
