정류장명,정류장번호,일자,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
양촌 [김포골드라인],~,2024-12-01(일),0,0,3,0,8,8,5,5,16,7,27,17,21,22,18,6,22,13,23,16,17,7,11,6,20,11,10,12,10,10,3,14,7,13,2,6,1,10,0,12,0,1,0,0,0,0,0,0,
양촌 [김포골드라인],~,2024-12-02(월),0,0,12,0,43,19,80,30,38,77,20,43,14,19,21,13,11,12,14,9,15,22,25,10,34,17,73,18,73,15,10,28,6,15,8,8,9,12,1,5,0,2,0,0,0,0,0,0,
양촌 [김포골드라인],~,2024-12-03(화),0,0,11,0,35,18,65,33,44,79,26,29,12,11,9,8,11,13,12,14,14,11,23,6,44,12,71,9,69,21,7,22,9,20,6,16,4,13,5,9,0,3,0,0,0,0,0,0,
양촌 [김포골드라인],~,2024-12-04(수),0,0,5,0,37,18,70,30,44,73,24,32,13,12,21,14,15,11,18,14,21,9,19,13,45,17,70,22,73,22,15,25,8,15,8,9,1,11,1,8,1,4,0,1,0,0,0,0,
양촌 [김포골드라인],~,2024-12-05(목),0,0,12,0,33,18,69,35,34,66,21,34,17,16,11,7,12,9,14,16,23,11,21,10,46,12,66,17,78,20,15,15,9,12,9,17,5,9,4,15,1,8,0,0,0,0,0,0,
양촌 [김포골드라인],~,2024-12-06(금),0,0,9,0,23,20,74,34,28,76,22,35,10,15,12,11,18,15,15,20,19,6,27,7,61,13,94,24,82,15,7,19,10,23,10,16,5,7,2,12,1,9,0,1,0,0,0,0,
양촌 [김포골드라인],~,2024-12-07(토),0,0,9,0,8,7,16,13,32,10,18,7,30,14,25,8,29,9,21,7,29,7,22,12,25,22,18,18,11,7,4,16,7,28,4,15,5,15,0,13,0,0,0,0,0,0,0,0,
양촌 [김포골드라인],~,2024-12-08(일),0,0,2,0,3,6,11,5,12,6,23,8,21,15,20,11,23,7,25,16,19,6,13,7,15,6,8,10,16,8,12,26,4,7,3,10,7,13,0,11,0,0,0,0,0,0,0,0,
양촌 [김포골드라인],~,2024-12-09(월),0,0,6,0,44,18,66,33,45,82,25,50,26,23,15,8,14,15,23,13,15,11,23,12,54,12,74,25,74,14,11,27,7,16,6,11,6,12,1,8,0,0,0,0,0,0,0,0,
양촌 [김포골드라인],~,2024-12-10(화),0,0,6,0,32,16,77,35,38,61,18,38,23,21,12,8,14,13,13,15,23,10,26,10,50,14,66,17,68,19,18,29,9,19,8,18,4,11,2,10,1,5,0,0,0,0,0,0,
양촌 [김포골드라인],~,2024-12-11(수),0,0,8,0,37,16,72,34,37,79,25,44,20,14,5,15,12,16,23,12,17,6,22,8,51,15,69,13,67,20,7,21,11,22,4,14,4,11,1,7,0,3,0,0,0,0,0,0,
양촌 [김포골드라인],~,2024-12-12(목),1,0,12,0,31,21,78,25,35,74,29,44,15,23,11,14,16,12,18,8,17,9,17,8,56,20,53,13,72,23,11,15,7,15,8,8,0,13,1,11,1,2,0,2,0,0,0,0,
양촌 [김포골드라인],~,2024-12-13(금),0,0,5,0,39,17,73,36,36,76,26,45,14,26,14,19,24,11,16,13,22,16,28,16,67,18,68,15,71,19,24,30,9,25,10,14,4,18,0,9,0,8,0,1,0,0,0,0,
양촌 [김포골드라인],~,2024-12-14(토),0,0,6,0,4,10,21,6,32,4,22,3,31,9,27,17,22,8,28,14,17,10,25,23,33,8,22,20,13,14,5,12,7,14,5,10,8,19,0,8,0,5,0,0,0,0,0,0,
