정류장명,정류장번호,일자,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
김포공항 [김포골드라인],~,2025-09-21(일),4,0,39,4,45,38,66,16,86,22,91,43,80,38,68,46,82,49,62,49,74,51,66,58,90,60,84,63,73,37,66,38,85,56,55,42,49,38,17,18,0,6,0,0,0,0,0,0,
김포공항 [김포골드라인],~,2025-09-22(월),7,0,88,13,196,62,412,110,399,76,169,52,85,49,73,37,86,35,62,27,62,36,80,54,133,63,246,88,284,165,145,118,96,74,60,70,56,44,16,9,1,20,0,0,0,0,0,0,
김포공항 [김포골드라인],~,2025-09-23(화),6,0,77,7,185,61,432,91,383,91,170,57,79,37,79,36,71,29,74,29,54,39,71,61,158,75,228,86,273,125,110,88,86,67,75,59,53,42,19,23,3,20,0,0,0,0,0,0,
김포공항 [김포골드라인],~,2025-09-24(수),8,0,78,14,190,60,420,94,369,92,193,61,98,46,88,46,94,25,95,31,94,34,92,52,145,60,257,79,256,112,126,105,123,72,79,39,157,50,73,15,4,18,0,1,0,0,0,0,
김포공항 [김포골드라인],~,2025-09-25(목),5,0,71,12,212,62,425,95,377,89,207,52,92,48,76,34,60,37,64,47,69,31,62,55,167,79,251,97,298,134,111,111,128,72,70,62,65,69,22,20,2,21,0,2,0,0,0,0,
김포공항 [김포골드라인],~,2025-09-26(금),8,0,87,10,193,56,400,91,368,68,164,55,96,54,76,31,89,47,134,34,112,46,101,54,156,64,239,85,291,124,131,107,76,73,63,67,60,59,22,30,4,14,0,1,0,0,0,0,
김포공항 [김포골드라인],~,2025-09-27(토),9,0,58,4,63,33,84,22,119,40,122,43,116,77,104,63,115,65,75,56,93,58,99,52,160,83,131,77,90,67,75,66,84,55,57,89,53,81,18,77,0,5,0,0,0,0,0,0,
김포공항 [김포골드라인],~,2025-09-28(일),1,0,34,4,41,32,62,14,112,23,100,38,93,27,116,43,120,47,117,48,129,43,70,51,95,58,78,59,61,58,64,36,77,59,49,40,61,16,10,24,0,5,0,0,0,0,0,0,
김포공항 [김포골드라인],~,2025-09-29(월),8,0,98,12,196,59,401,87,410,85,169,54,86,44,73,48,90,41,57,26,75,36,64,44,149,56,237,85,272,152,125,104,99,96,60,64,65,47,20,8,2,22,0,0,0,0,0,0,
김포공항 [김포골드라인],~,2025-09-30(화),7,0,89,10,213,53,398,104,421,71,182,59,94,44,87,36,67,32,88,66,73,46,75,58,159,75,242,79,267,126,136,109,85,75,59,70,62,48,14,20,2,15,0,6,0,0,0,0,
김포공항 [김포골드라인],~,2025-10-01(수),6,0,82,11,207,51,416,95,408,87,170,67,100,40,80,32,78,26,56,53,68,66,85,56,125,57,214,89,275,146,128,105,107,79,51,61,61,57,20,22,4,21,0,0,0,0,0,0,
김포공항 [김포골드라인],~,2025-10-02(목),8,0,79,11,182,65,412,93,342,86,159,42,77,39,63,36,85,32,92,43,78,43,87,65,178,115,230,122,237,126,124,77,105,79,46,45,53,55,16,16,3,27,0,8,0,0,0,0,
김포공항 [김포골드라인],~,2025-10-03(금),4,0,57,4,74,27,100,25,113,24,148,54,118,46,146,51,147,39,170,48,130,79,149,65,159,72,145,63,112,66,74,35,130,43,59,35,60,47,15,12,0,0,0,0,0,0,0,0,
김포공항 [김포골드라인],~,2025-10-04(토),4,0,47,6,47,30,41,21,90,25,87,53,80,42,75,58,80,59,73,53,91,43,56,50,98,67,93,67,87,54,86,47,99,27,44,33,59,40,12,19,0,6,0,0,0,0,0,0,
