정류장명,정류장번호,일자,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
김포공항 [김포골드라인],~,2024-12-01(일),1,0,26,2,31,19,35,16,36,18,60,35,43,39,64,43,55,34,52,47,67,38,61,45,89,46,86,42,46,48,54,34,64,25,73,19,93,17,28,5,0,0,0,0,0,0,0,0,
김포공항 [김포골드라인],~,2024-12-02(월),4,0,86,10,154,55,431,90,367,66,140,47,54,40,30,22,52,29,53,34,54,23,49,29,117,38,214,53,246,113,121,100,81,37,42,29,46,30,19,16,2,21,0,6,0,0,0,0,
김포공항 [김포골드라인],~,2024-12-03(화),3,0,85,4,164,36,388,103,392,59,115,45,64,39,41,30,55,27,52,23,47,25,53,31,94,48,194,51,231,100,93,80,78,36,48,28,52,37,19,17,0,16,0,11,0,0,0,0,
김포공항 [김포골드라인],~,2024-12-04(수),3,0,79,8,177,39,377,95,375,73,133,53,50,30,53,30,63,31,50,28,41,42,52,32,97,40,197,48,257,91,118,72,89,52,68,39,40,36,17,10,3,24,0,2,0,0,0,0,
김포공항 [김포골드라인],~,2024-12-05(목),3,0,79,10,183,55,381,97,363,79,121,47,61,58,56,28,69,25,58,34,46,39,67,24,96,40,226,67,232,94,105,60,69,35,57,47,42,39,23,23,1,15,0,10,0,0,0,0,
김포공항 [김포골드라인],~,2024-12-06(금),3,0,76,5,165,42,335,98,363,63,108,49,57,43,54,36,74,31,61,28,66,40,61,38,110,46,212,64,237,93,112,59,66,48,65,33,69,64,11,25,3,19,0,14,0,0,0,0,
김포공항 [김포골드라인],~,2024-12-07(토),2,0,59,3,55,26,56,23,63,36,57,37,60,56,72,80,53,69,76,60,62,56,83,52,85,60,80,63,85,43,53,32,88,31,51,29,49,37,15,10,1,4,0,0,0,0,0,0,
김포공항 [김포골드라인],~,2024-12-08(일),0,0,24,4,35,17,23,8,45,11,65,37,48,31,55,27,53,44,60,46,47,52,40,54,59,39,79,67,54,34,55,39,55,23,44,18,50,25,10,7,0,4,0,0,0,0,0,0,
김포공항 [김포골드라인],~,2024-12-09(월),4,0,79,6,178,49,423,92,326,80,135,38,77,35,50,31,55,33,46,26,54,34,54,43,113,37,182,58,239,94,101,72,81,45,42,35,48,28,11,11,3,18,0,5,0,0,0,0,
김포공항 [김포골드라인],~,2024-12-10(화),2,0,101,4,182,44,395,95,375,61,108,45,64,36,70,35,68,28,64,45,62,32,55,41,107,32,226,63,267,97,94,70,70,51,66,44,33,52,16,21,1,25,0,3,0,0,0,0,
김포공항 [김포골드라인],~,2024-12-11(수),5,0,67,8,165,46,405,86,350,76,109,48,74,42,55,35,62,38,53,28,54,46,77,54,103,36,209,68,230,83,94,74,89,49,54,42,56,43,13,19,3,22,0,3,0,0,0,0,
김포공항 [김포골드라인],~,2024-12-12(목),1,0,78,11,172,49,372,92,354,59,116,50,63,34,62,37,61,46,64,50,48,43,85,47,126,57,214,81,228,82,94,56,78,37,60,41,51,39,15,21,1,19,0,9,0,0,0,0,
김포공항 [김포골드라인],~,2024-12-13(금),1,0,73,2,150,45,359,93,353,63,108,50,79,33,61,42,71,58,64,43,73,40,55,60,117,54,192,78,262,82,103,83,82,34,48,55,62,43,13,24,4,28,0,2,0,0,0,0,
김포공항 [김포골드라인],~,2024-12-14(토),3,0,42,5,47,27,55,24,80,26,97,37,78,41,93,51,82,68,78,74,82,56,61,59,81,50,74,49,76,78,50,73,79,39,52,34,52,37,21,18,0,3,0,0,0,0,0,0,
