정류장명,정류장번호,일자,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
마산 [김포골드라인],~,2025-08-24(일),0,0,22,4,33,14,67,32,125,68,147,66,153,86,156,93,123,62,147,117,122,93,136,90,142,129,173,141,100,140,60,130,52,129,59,128,22,111,4,55,0,0,0,0,0,0,0,0,
마산 [김포골드라인],~,2025-08-25(월),0,0,62,9,243,21,468,85,438,199,244,82,157,68,122,83,119,112,137,121,86,96,131,146,178,163,170,217,166,360,97,381,57,212,39,154,23,152,18,88,11,28,0,0,0,0,0,0,
마산 [김포골드라인],~,2025-08-26(화),0,0,61,6,229,22,436,77,446,193,235,97,145,69,97,80,124,119,113,111,104,110,127,135,173,165,236,227,187,360,90,348,60,242,57,161,21,195,25,92,7,44,0,0,0,0,0,0,
마산 [김포골드라인],~,2025-08-27(수),0,0,65,8,239,32,483,66,448,193,257,72,154,81,145,81,110,112,134,122,108,111,147,143,203,190,169,255,190,393,96,327,66,225,52,177,36,215,22,91,8,57,0,0,0,0,0,0,
마산 [김포골드라인],~,2025-08-28(목),0,0,73,9,239,25,467,84,460,181,244,77,166,68,143,69,118,113,112,116,100,100,145,142,175,167,216,225,178,370,86,334,56,232,50,188,38,193,30,106,12,45,0,0,0,0,0,0,
마산 [김포골드라인],~,2025-08-29(금),0,0,69,7,233,24,444,74,434,181,243,73,149,74,127,69,115,112,119,102,133,114,167,136,212,186,188,255,217,393,119,340,75,236,67,176,46,206,31,120,9,38,0,0,0,0,0,0,
마산 [김포골드라인],~,2025-08-30(토),0,0,28,4,64,16,81,39,188,76,221,54,149,60,185,87,198,107,151,141,147,146,137,167,180,187,163,281,142,416,72,176,90,149,377,156,71,167,25,88,0,0,0,0,0,0,0,0,
마산 [김포골드라인],~,2025-08-31(일),0,0,22,5,45,17,63,30,105,61,148,79,131,63,143,71,127,78,140,84,143,113,125,85,117,168,129,125,109,133,65,122,55,132,62,124,40,128,8,45,0,0,0,0,0,0,0,0,
마산 [김포골드라인],~,2025-09-01(월),0,0,79,4,252,20,475,84,459,192,228,69,147,56,121,68,101,110,129,126,104,99,161,132,197,197,144,234,150,399,103,349,59,239,60,177,23,175,12,58,9,31,0,0,0,0,0,0,
마산 [김포골드라인],~,2025-09-02(화),1,0,72,9,274,24,503,90,480,180,250,64,165,69,138,79,115,127,85,92,99,104,95,133,179,175,234,247,191,356,98,374,53,257,39,178,37,177,22,87,5,30,0,0,0,0,0,0,
마산 [김포골드라인],~,2025-09-03(수),0,0,67,10,250,25,506,94,438,177,259,74,165,74,124,64,109,124,119,127,111,108,137,144,198,190,195,245,190,391,109,376,63,238,52,167,39,162,27,95,5,28,0,0,0,0,0,0,
마산 [김포골드라인],~,2025-09-04(목),0,0,60,6,245,15,479,76,453,196,263,97,139,61,147,70,105,119,111,107,95,130,111,131,210,188,200,234,185,383,93,349,77,225,38,190,49,211,17,89,16,33,0,0,0,0,0,0,
마산 [김포골드라인],~,2025-09-05(금),0,0,55,11,238,13,449,79,452,222,289,71,179,82,146,70,130,142,129,108,120,134,178,149,218,224,213,253,176,402,136,337,73,247,70,149,67,196,33,99,10,45,0,0,0,0,0,0,
마산 [김포골드라인],~,2025-09-06(토),0,0,34,1,61,10,83,39,201,82,190,64,186,74,196,86,161,138,145,125,156,133,151,132,137,159,127,153,91,175,85,114,56,148,49,137,16,134,32,77,0,0,0,0,0,0,0,0,
