정류장명,정류장번호,일자,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
장기 [김포골드라인],~,2025-02-23(일),0,0,67,5,100,50,149,76,265,98,335,194,356,215,305,199,361,243,364,298,371,320,359,334,351,349,266,387,234,366,170,369,171,313,120,277,110,282,55,145,0,0,0,0,0,0,0,0,
장기 [김포골드라인],~,2025-02-24(월),0,0,171,22,501,74,1031,194,925,493,531,407,383,274,506,331,456,400,448,439,441,419,449,477,487,570,424,627,494,929,276,780,236,533,238,372,206,341,83,183,43,84,0,0,0,0,0,0,
장기 [김포골드라인],~,2025-02-25(화),4,0,162,21,502,93,1071,196,943,479,544,428,430,285,525,375,524,399,491,462,447,425,440,510,482,574,446,693,460,913,269,849,242,525,225,393,239,371,87,211,39,132,0,0,0,0,0,0,
장기 [김포골드라인],~,2025-02-26(수),2,0,160,20,439,78,1011,205,922,486,535,425,453,278,509,288,474,400,489,435,387,400,486,475,456,523,494,691,495,963,317,801,252,536,238,459,242,388,90,229,40,121,0,0,0,0,0,0,
장기 [김포골드라인],~,2025-02-27(목),1,0,181,22,465,79,1025,205,950,486,588,434,415,281,486,331,537,364,483,494,471,414,481,525,543,524,469,702,554,940,264,791,232,526,225,413,213,473,96,250,50,120,0,0,0,0,0,0,
장기 [김포골드라인],~,2025-02-28(금),1,0,180,23,408,69,964,189,916,471,548,395,477,276,530,311,434,380,487,423,428,439,479,529,514,574,551,739,588,899,408,829,268,547,255,472,231,412,98,281,43,177,0,0,0,0,0,0,
장기 [김포골드라인],~,2025-03-01(토),1,1,64,29,98,72,160,65,291,144,423,206,507,174,568,263,478,278,468,294,459,338,416,431,402,469,343,497,269,562,188,466,193,386,187,399,164,303,89,230,1,1,0,0,0,0,0,0,
장기 [김포골드라인],~,2025-03-02(일),2,0,68,6,94,51,137,58,240,105,330,172,336,215,324,186,369,243,428,269,412,302,350,394,321,360,261,372,211,324,169,355,169,320,134,250,124,250,47,148,0,0,0,0,0,0,0,0,
장기 [김포골드라인],~,2025-03-03(월),2,0,74,7,94,46,146,91,240,177,299,187,365,149,355,211,411,296,407,310,389,282,374,350,421,417,306,420,270,400,211,332,172,295,155,280,136,189,47,164,0,0,0,0,0,0,0,0,
장기 [김포골드라인],~,2025-03-04(화),2,0,187,19,552,82,1108,246,997,649,522,380,412,238,391,254,441,321,340,389,359,336,347,437,482,534,515,777,462,942,260,797,210,496,219,334,232,360,89,145,29,99,0,0,0,0,0,0,
장기 [김포골드라인],~,2025-03-05(수),1,0,141,48,524,96,1119,251,996,627,538,347,454,264,412,303,428,322,380,367,325,412,416,400,469,618,498,726,464,972,291,864,243,503,254,411,224,355,87,156,27,97,0,0,0,0,0,0,
장기 [김포골드라인],~,2025-03-06(목),2,0,178,17,526,82,1142,245,1052,631,565,353,504,274,410,307,414,327,398,431,376,391,415,404,482,614,491,737,503,936,298,795,222,513,232,399,251,417,84,221,31,99,0,0,0,0,0,0,
장기 [김포골드라인],~,2025-03-07(금),2,0,176,19,458,92,1058,233,1023,614,522,392,468,247,502,300,441,378,388,349,357,384,452,547,504,693,652,770,544,976,344,857,259,531,262,420,271,424,99,258,37,130,0,0,0,0,0,0,
장기 [김포골드라인],~,2025-03-08(토),0,0,87,11,125,55,216,110,408,243,473,302,518,274,578,347,504,389,548,400,470,379,495,481,487,495,411,570,315,612,247,410,211,383,184,352,183,350,69,210,0,0,0,0,0,0,0,0,
