정류장명,정류장번호,일자,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
운양 [김포골드라인],~,2025-10-05(일),1,0,21,11,64,23,94,37,105,75,148,78,167,104,157,144,177,139,196,118,157,172,165,189,194,168,163,184,135,184,122,146,86,142,95,110,71,138,39,69,0,0,0,0,0,0,0,0,
운양 [김포골드라인],~,2025-10-06(월),0,0,22,11,64,26,46,22,87,65,59,59,95,67,123,85,95,84,139,99,121,100,115,89,132,124,117,137,110,132,85,119,71,115,51,87,78,86,25,55,0,0,0,0,0,0,0,0,
운양 [김포골드라인],~,2025-10-07(화),0,0,18,12,54,26,58,37,99,51,124,90,161,78,167,109,177,124,184,151,185,147,227,158,227,226,181,198,164,192,117,162,99,137,133,154,99,145,40,86,0,0,0,0,0,0,0,0,
운양 [김포골드라인],~,2025-10-08(수),1,0,29,8,65,34,70,47,153,60,172,135,215,139,275,158,266,181,283,183,220,247,291,255,244,241,227,272,199,306,162,250,152,211,126,177,107,159,65,102,0,0,0,0,0,0,0,0,
운양 [김포골드라인],~,2025-10-09(목),0,0,34,14,55,34,98,45,146,84,186,159,205,119,229,159,226,182,262,200,259,221,247,221,251,267,252,304,198,256,145,225,159,212,147,186,110,164,34,92,0,0,0,0,0,0,0,0,
운양 [김포골드라인],~,2025-10-10(금),1,0,88,27,266,51,505,92,461,282,295,274,294,215,286,221,277,275,333,291,338,284,309,287,325,313,322,409,371,549,198,442,173,264,171,212,166,197,62,171,26,50,0,0,0,0,0,0,
운양 [김포골드라인],~,2025-10-11(토),1,0,33,7,73,38,125,62,235,132,229,257,295,180,299,207,312,266,314,268,298,282,299,266,350,305,272,325,207,289,156,261,140,194,149,160,116,211,31,113,0,0,0,0,0,0,0,0,
운양 [김포골드라인],~,2025-10-12(일),1,0,27,11,70,32,91,43,156,70,182,140,190,148,203,164,232,183,256,237,258,197,234,215,246,250,212,271,196,245,133,230,132,187,101,130,90,151,38,85,0,0,0,0,0,0,0,0,
운양 [김포골드라인],~,2025-10-13(월),3,0,130,23,474,65,948,155,791,445,403,299,249,183,256,190,229,259,231,262,208,237,282,261,312,361,395,489,375,636,182,583,165,391,178,268,128,217,60,108,22,48,0,0,0,0,0,0,
운양 [김포골드라인],~,2025-10-14(화),2,0,119,19,454,64,948,200,804,431,407,297,314,203,288,196,270,299,244,289,294,265,274,287,357,370,427,495,414,715,242,665,175,372,168,272,139,230,86,113,27,53,0,0,0,0,0,0,
운양 [김포골드라인],~,2025-10-15(수),1,0,109,25,427,72,917,172,865,500,442,305,258,213,303,206,271,286,277,323,288,282,319,313,391,437,443,509,411,671,220,641,192,348,166,276,163,266,68,133,28,48,0,0,0,0,0,0,
운양 [김포골드라인],~,2025-10-16(목),1,0,127,27,430,66,904,162,1033,434,469,263,280,222,328,214,291,263,238,333,266,291,307,319,459,534,370,521,395,671,228,618,191,404,196,301,176,305,73,151,31,65,0,0,0,0,0,0,
운양 [김포골드라인],~,2025-10-17(금),4,0,119,24,397,75,886,159,753,420,433,342,302,213,303,254,309,318,250,298,320,324,421,397,478,459,394,481,413,679,246,580,233,362,184,311,179,288,101,163,39,73,0,0,0,0,0,0,
운양 [김포골드라인],~,2025-10-18(토),0,0,52,13,92,42,158,75,261,172,320,280,326,210,353,241,328,272,343,361,317,271,395,290,418,309,430,339,282,314,224,217,130,238,176,330,113,240,48,164,0,0,0,0,0,0,0,0,
