정류장명,정류장번호,일자,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
걸포북변 [김포골드라인],~,2025-06-29(일),0,0,43,18,54,48,101,41,194,94,231,85,226,151,232,97,300,121,220,180,260,186,235,161,229,192,194,228,155,228,128,210,95,224,82,232,50,190,20,124,0,0,0,0,0,0,0,0,
걸포북변 [김포골드라인],~,2025-06-30(월),0,0,120,31,444,108,890,160,900,222,390,123,277,139,244,150,213,170,234,253,186,214,219,246,284,348,279,404,225,622,137,635,96,389,72,316,59,256,34,137,9,50,0,0,0,0,0,0,
걸포북변 [김포골드라인],~,2025-07-01(화),2,0,111,25,384,108,936,140,880,279,401,130,274,121,234,151,236,186,258,239,195,201,191,249,260,353,328,415,233,617,115,635,104,372,68,292,78,286,36,141,14,56,0,0,0,0,0,0,
걸포북변 [김포골드라인],~,2025-07-02(수),1,0,99,24,385,109,875,154,892,268,383,146,288,174,252,179,269,187,289,259,260,245,275,303,278,358,332,424,284,638,147,666,119,385,67,354,79,320,30,140,9,50,0,0,0,0,0,0,
걸포북변 [김포골드라인],~,2025-07-03(목),0,0,111,32,366,118,917,143,903,268,387,123,287,139,223,149,236,186,250,185,213,182,230,263,282,400,346,439,265,608,155,632,120,339,84,351,62,288,37,175,15,84,0,0,0,0,0,0,
걸포북변 [김포골드라인],~,2025-07-04(금),1,0,106,29,380,109,847,150,891,227,408,145,250,147,229,159,253,179,253,226,219,205,253,255,298,385,351,466,283,667,178,609,109,365,97,320,85,319,44,199,14,82,0,0,0,0,0,0,
걸포북변 [김포골드라인],~,2025-07-05(토),1,1,49,23,88,79,170,72,322,143,384,148,362,144,351,168,305,223,289,204,377,239,313,226,307,295,265,276,191,283,135,226,118,256,78,270,70,212,51,198,0,0,0,0,0,0,0,0,
걸포북변 [김포골드라인],~,2025-07-06(일),0,0,33,23,61,40,113,43,177,127,231,116,256,165,267,145,291,161,277,183,288,186,261,194,245,221,282,225,139,247,135,218,94,211,107,220,74,180,27,111,0,0,0,0,0,0,0,0,
걸포북변 [김포골드라인],~,2025-07-07(월),1,0,118,31,436,100,916,168,887,241,396,117,297,157,256,209,288,202,216,197,190,184,235,302,235,353,335,431,239,654,132,647,94,349,84,327,66,301,27,122,19,54,0,0,0,0,0,0,
걸포북변 [김포골드라인],~,2025-07-08(화),0,0,112,33,408,118,949,154,929,273,392,122,299,105,207,158,245,179,187,174,149,150,179,217,228,372,343,461,208,628,134,651,106,409,80,353,56,303,43,133,21,47,0,0,0,0,0,0,
걸포북변 [김포골드라인],~,2025-07-09(수),0,0,115,31,402,93,913,160,871,270,354,149,272,131,228,145,212,155,214,147,175,172,204,258,271,358,314,411,230,606,160,649,100,386,95,289,79,309,36,169,13,50,0,0,0,0,0,0,
걸포북변 [김포골드라인],~,2025-07-10(목),0,0,110,37,372,103,924,142,840,264,355,119,232,124,215,109,246,183,177,157,204,141,201,220,250,333,292,428,244,568,168,651,104,387,96,354,63,296,40,166,13,73,0,0,0,0,0,0,
걸포북변 [김포골드라인],~,2025-07-11(금),0,0,108,40,378,119,854,150,915,270,385,146,256,129,236,150,217,177,235,195,166,179,238,305,317,378,383,420,262,592,182,646,135,390,111,325,109,337,50,175,21,102,0,0,0,0,0,0,
걸포북변 [김포골드라인],~,2025-07-12(토),0,0,58,17,102,77,181,66,309,146,339,148,338,149,362,168,309,184,325,196,298,213,268,233,267,245,225,282,175,329,148,229,133,246,104,240,72,232,36,162,0,0,0,0,0,0,0,0,
