정류장명,정류장번호,일자,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
걸포북변 [김포골드라인],~,2024-12-01(일),0,0,39,19,59,31,113,39,190,93,245,83,292,151,279,118,293,121,322,143,283,174,218,231,238,252,170,265,137,241,105,197,82,181,66,219,48,158,24,95,0,0,0,0,0,0,0,0,
걸포북변 [김포골드라인],~,2024-12-02(월),0,0,120,30,439,71,898,148,899,241,466,172,311,175,299,217,267,213,264,264,247,249,280,286,270,410,332,462,223,626,108,717,96,372,88,309,56,254,28,126,14,46,0,0,0,0,0,0,
걸포북변 [김포골드라인],~,2024-12-03(화),0,0,113,22,418,73,931,135,957,235,419,134,303,131,261,162,261,161,244,234,215,193,246,264,241,363,284,475,225,671,124,643,77,374,76,331,66,266,47,158,19,53,0,0,0,0,0,0,
걸포북변 [김포골드라인],~,2024-12-04(수),0,0,110,23,372,63,893,149,895,240,436,152,301,147,256,145,274,186,274,231,222,232,251,278,241,404,338,439,241,644,142,664,107,377,97,348,72,291,36,137,14,62,0,0,0,0,0,0,
걸포북변 [김포골드라인],~,2024-12-05(목),0,0,110,24,384,67,925,143,883,229,453,130,291,111,251,183,240,202,211,218,212,214,262,268,275,370,335,425,238,647,138,604,108,384,75,335,66,319,33,151,18,80,0,0,0,0,0,0,
걸포북변 [김포골드라인],~,2024-12-06(금),1,0,92,25,336,70,854,126,848,237,428,135,293,160,281,158,266,200,231,185,237,235,256,327,313,355,377,501,317,633,192,624,104,390,86,324,88,323,50,194,16,103,0,0,0,0,0,0,
걸포북변 [김포골드라인],~,2024-12-07(토),1,1,60,23,93,52,185,57,296,110,327,162,378,139,422,229,417,221,443,251,431,258,436,251,408,308,279,333,164,320,119,307,125,274,76,292,69,243,33,188,0,0,0,0,0,0,0,0,
걸포북변 [김포골드라인],~,2024-12-08(일),0,0,25,21,59,35,101,44,192,82,232,98,269,131,235,95,271,134,236,141,226,167,216,190,221,222,153,208,152,228,96,206,99,188,92,190,41,142,26,95,0,0,0,0,0,0,0,0,
걸포북변 [김포골드라인],~,2024-12-09(월),0,0,138,17,415,70,905,137,894,209,439,120,311,131,267,164,252,168,236,234,196,220,263,281,268,405,275,432,228,639,129,655,98,345,63,291,69,293,22,139,14,54,0,0,0,0,0,0,
걸포북변 [김포골드라인],~,2024-12-10(화),2,0,109,22,389,55,920,157,915,232,460,142,327,123,256,158,245,192,236,220,228,203,237,312,266,335,336,447,251,651,99,662,108,403,99,339,78,265,29,159,16,65,0,0,0,0,0,0,
걸포북변 [김포골드라인],~,2024-12-11(수),0,0,105,22,368,49,878,140,852,243,401,130,323,130,301,146,256,190,253,224,231,230,241,337,261,372,347,453,265,689,148,613,112,360,85,357,66,310,25,160,15,57,0,0,0,0,0,0,
걸포북변 [김포골드라인],~,2024-12-12(목),1,1,95,23,409,68,896,130,871,253,451,145,315,149,306,195,298,244,301,262,301,260,272,355,324,376,325,439,254,665,113,647,103,368,81,365,86,294,40,156,11,69,0,0,0,0,0,0,
걸포북변 [김포골드라인],~,2024-12-13(금),1,0,111,21,365,61,856,128,889,239,415,128,327,163,284,158,263,212,269,248,281,233,304,365,331,389,421,493,343,658,184,601,115,392,86,351,97,325,41,245,18,138,0,0,0,0,0,0,
걸포북변 [김포골드라인],~,2024-12-14(토),1,0,48,24,100,40,154,62,327,114,384,138,427,134,463,186,430,194,452,213,444,242,392,267,399,314,252,351,208,328,113,344,121,306,85,307,85,299,41,213,0,0,0,0,0,0,0,0,
