정류장명,정류장번호,일자,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
사우(김포시청) [김포골드라인],~,2024-12-29(일),0,0,54,14,85,42,114,38,214,119,281,199,234,178,288,179,388,236,308,269,364,308,269,295,275,355,280,314,316,324,159,261,142,264,112,261,100,214,32,120,0,0,0,0,0,0,0,0,
사우(김포시청) [김포골드라인],~,2024-12-30(월),1,0,113,15,289,82,700,158,664,795,438,440,568,314,456,384,546,344,468,382,413,402,512,461,536,562,658,612,557,793,258,678,195,378,244,368,249,326,72,200,35,99,0,0,0,0,0,0,
사우(김포시청) [김포골드라인],~,2024-12-31(화),0,0,105,19,283,85,691,129,649,734,361,377,405,268,416,307,444,345,401,325,400,440,644,483,534,645,502,760,573,702,323,587,265,355,242,326,280,276,88,167,34,81,0,0,0,0,0,0,
사우(김포시청) [김포골드라인],~,2025-01-01(수),1,0,56,15,70,64,101,65,120,91,152,138,182,102,168,137,216,187,239,196,231,175,229,228,222,257,206,323,213,224,133,216,119,204,107,221,124,191,42,91,0,0,0,0,0,0,0,0,
사우(김포시청) [김포골드라인],~,2025-01-02(목),0,0,121,15,349,96,814,160,696,677,390,365,375,278,419,317,448,305,407,342,345,352,440,415,434,473,541,687,545,887,259,787,224,364,260,311,284,312,93,190,36,79,0,0,0,0,0,0,
사우(김포시청) [김포골드라인],~,2025-01-03(금),2,0,113,15,318,81,730,175,671,678,418,432,377,297,443,290,520,314,470,412,408,422,608,471,519,554,491,672,578,923,257,739,231,453,223,360,339,373,110,206,43,98,0,0,0,0,0,0,
사우(김포시청) [김포골드라인],~,2025-01-04(토),1,0,66,15,111,56,173,77,304,187,341,272,377,223,348,260,418,312,468,358,436,376,356,349,387,469,344,438,393,379,176,311,168,287,176,271,168,296,93,217,0,0,0,0,0,0,0,0,
사우(김포시청) [김포골드라인],~,2025-01-05(일),1,0,50,9,91,47,133,43,201,86,301,186,252,166,249,194,301,209,291,235,310,270,276,292,277,303,274,320,203,335,181,255,123,237,121,218,122,202,43,172,0,0,0,0,0,0,0,0,
사우(김포시청) [김포골드라인],~,2025-01-06(월),0,0,124,21,379,81,822,188,731,675,454,448,399,311,372,381,497,354,418,370,415,387,447,451,520,524,484,699,566,878,235,792,249,417,240,314,295,332,69,165,23,71,0,0,0,0,0,0,
사우(김포시청) [김포골드라인],~,2025-01-07(화),1,0,113,15,356,80,788,193,747,642,408,465,370,294,423,359,439,371,444,345,369,389,467,436,450,536,509,619,567,824,274,799,237,413,208,368,291,310,91,213,29,59,0,0,0,0,0,0,
사우(김포시청) [김포골드라인],~,2025-01-08(수),0,0,109,20,341,90,779,166,723,612,423,413,375,279,404,315,437,323,384,328,426,403,437,419,458,513,512,647,533,896,256,808,239,384,215,364,321,308,84,150,36,88,0,0,0,0,0,0,
사우(김포시청) [김포골드라인],~,2025-01-09(목),1,0,117,16,330,77,767,170,682,646,357,452,303,233,332,283,407,317,345,315,352,352,383,372,538,465,467,553,521,819,220,693,201,365,200,342,289,302,78,161,29,62,0,0,0,0,0,0,
사우(김포시청) [김포골드라인],~,2025-01-10(금),0,0,96,18,298,86,730,157,671,642,374,409,392,306,413,336,452,352,505,345,388,377,433,438,461,517,565,665,579,907,274,734,223,419,245,371,346,371,95,231,36,122,0,0,0,0,0,0,
사우(김포시청) [김포골드라인],~,2025-01-11(토),1,0,67,10,101,52,179,89,277,208,350,292,375,231,489,262,515,338,444,313,399,341,428,384,370,405,370,397,292,458,177,342,156,329,140,339,173,326,56,204,0,0,0,0,0,0,0,0,
