정류장명,정류장번호,일자,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
사우(김포시청) [김포골드라인],~,2024-12-01(일),0,0,48,7,106,39,151,39,203,80,313,163,276,200,315,197,337,222,372,277,303,298,324,287,248,326,240,384,183,347,181,275,135,241,118,267,101,221,41,133,0,0,0,0,0,0,0,0,
사우(김포시청) [김포골드라인],~,2024-12-02(월),1,0,134,15,386,81,859,189,827,829,484,482,451,371,439,389,502,391,505,377,462,357,462,503,464,492,567,674,556,876,266,839,215,405,218,347,266,309,74,176,31,57,0,0,0,0,0,0,
사우(김포시청) [김포골드라인],~,2024-12-03(화),0,0,115,16,369,88,913,162,808,834,497,463,415,310,450,357,485,367,450,380,383,376,425,448,505,481,555,652,528,864,270,805,220,420,223,317,237,323,79,201,31,90,0,0,0,0,0,0,
사우(김포시청) [김포골드라인],~,2024-12-04(수),1,0,119,15,360,93,829,163,835,828,494,405,379,271,417,333,473,311,554,347,371,397,462,500,520,549,575,728,598,881,266,783,253,465,271,385,242,363,71,175,38,70,0,0,0,0,0,0,
사우(김포시청) [김포골드라인],~,2024-12-05(목),0,0,125,19,368,91,853,158,821,807,436,446,403,264,448,344,443,367,420,319,422,340,408,463,507,465,608,630,524,837,258,769,244,404,271,344,245,358,75,225,37,104,0,0,0,0,0,0,
사우(김포시청) [김포골드라인],~,2024-12-06(금),1,0,105,18,346,83,811,168,801,842,478,432,396,263,452,370,471,404,412,387,415,408,683,466,559,492,709,715,645,883,273,762,216,439,274,354,243,424,98,264,51,114,0,0,0,0,0,0,
사우(김포시청) [김포골드라인],~,2024-12-07(토),0,0,56,11,135,48,168,65,317,169,412,291,401,255,429,340,537,307,602,373,590,409,532,388,455,376,456,434,290,519,189,431,161,407,167,345,114,388,69,252,0,0,0,0,0,0,0,0,
사우(김포시청) [김포골드라인],~,2024-12-08(일),1,0,59,8,92,37,103,38,228,89,281,139,307,194,280,176,313,194,292,263,347,302,285,341,236,290,218,315,240,354,167,303,121,241,129,242,98,236,29,113,0,0,0,0,0,0,0,0,
사우(김포시청) [김포골드라인],~,2024-12-09(월),0,0,120,20,382,80,855,168,766,813,473,458,385,310,426,370,415,300,491,340,388,408,458,526,544,476,553,636,565,802,251,786,257,389,225,334,182,296,60,162,21,70,0,0,0,0,0,0,
사우(김포시청) [김포골드라인],~,2024-12-10(화),0,0,119,17,379,71,814,184,834,826,487,475,437,290,412,385,537,422,581,419,486,434,554,427,503,516,492,669,562,865,261,774,249,401,233,366,202,332,78,180,33,75,0,0,0,0,0,0,
사우(김포시청) [김포골드라인],~,2024-12-11(수),0,0,111,18,359,85,865,177,833,823,478,385,410,293,405,350,474,331,559,364,449,400,508,486,481,487,583,663,568,920,239,826,245,405,251,361,246,353,80,161,20,101,0,0,0,0,0,0,
사우(김포시청) [김포골드라인],~,2024-12-12(목),1,0,114,17,371,81,838,188,788,793,446,444,422,268,418,383,458,403,552,355,497,437,446,468,541,498,561,672,542,872,270,766,253,401,263,400,215,380,80,237,33,77,0,0,0,0,0,0,
사우(김포시청) [김포골드라인],~,2024-12-13(금),0,0,107,19,345,76,795,162,796,822,467,428,387,273,516,349,529,430,626,354,505,410,546,464,551,601,666,831,644,967,342,755,302,449,265,403,236,442,106,254,30,140,0,0,0,0,0,0,
사우(김포시청) [김포골드라인],~,2024-12-14(토),1,0,73,19,108,38,198,67,311,229,397,306,446,243,551,324,559,327,677,382,544,387,515,385,446,491,397,511,335,597,201,462,166,450,172,383,139,376,70,252,0,0,0,0,0,0,0,0,
