정류장명,정류장번호,일자,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
풍무 [김포골드라인],~,2024-12-29(일),0,0,28,4,49,36,109,46,165,55,228,87,227,103,263,115,257,146,209,171,234,251,276,244,216,265,192,249,166,273,116,243,118,191,97,212,44,202,18,101,0,0,0,0,0,0,0,0,
풍무 [김포골드라인],~,2024-12-30(월),0,0,126,14,341,74,715,112,699,222,388,199,345,173,309,181,284,210,271,284,275,255,305,342,345,406,325,534,264,798,159,700,133,382,100,376,74,305,56,202,28,77,0,0,0,0,0,0,
풍무 [김포골드라인],~,2024-12-31(화),0,0,106,15,299,76,639,118,623,233,373,154,264,141,280,194,269,226,269,274,274,309,292,435,367,479,340,637,315,708,181,612,139,323,123,248,82,251,51,148,24,50,0,0,0,0,0,0,
풍무 [김포골드라인],~,2025-01-01(수),0,0,33,9,58,44,66,55,102,45,131,84,134,80,169,96,203,101,201,160,215,187,230,180,195,198,191,192,118,205,93,186,92,144,80,192,52,155,23,77,0,0,0,0,0,0,0,0,
풍무 [김포골드라인],~,2025-01-02(목),0,0,117,15,417,87,851,109,791,222,371,197,276,115,257,163,258,199,263,220,255,221,272,280,263,354,320,493,299,885,106,898,87,447,98,357,77,328,34,171,25,54,0,0,0,0,0,0,
풍무 [김포골드라인],~,2025-01-03(금),0,0,118,12,381,76,825,111,774,239,364,186,315,149,271,167,238,208,253,280,260,248,302,303,324,370,363,535,330,902,175,859,132,411,123,369,92,313,40,188,13,120,0,0,0,0,0,0,
풍무 [김포골드라인],~,2025-01-04(토),1,0,36,10,84,66,159,67,260,115,280,152,354,152,332,171,377,231,340,241,336,290,317,328,346,318,266,335,197,349,123,280,105,255,111,254,56,268,30,156,0,0,0,0,0,0,0,0,
풍무 [김포골드라인],~,2025-01-05(일),0,0,31,8,76,37,145,28,191,78,241,90,214,97,209,115,273,154,260,203,238,177,237,266,234,250,221,275,138,261,96,221,106,216,77,216,56,160,12,117,0,0,0,0,0,0,0,0,
풍무 [김포골드라인],~,2025-01-06(월),0,0,145,13,412,75,812,127,834,256,420,188,328,169,261,155,261,200,251,253,268,257,276,287,361,337,299,469,294,907,129,968,112,449,96,364,86,341,41,173,15,65,0,0,0,0,0,0,
풍무 [김포골드라인],~,2025-01-07(화),0,0,113,15,404,79,848,104,856,228,423,208,258,156,246,174,276,193,276,240,253,263,259,325,309,361,305,491,277,890,120,945,124,443,90,342,93,309,49,180,12,59,0,0,0,0,0,0,
풍무 [김포골드라인],~,2025-01-08(수),0,0,117,11,405,78,836,100,769,220,439,146,311,137,284,107,283,170,223,224,217,196,234,312,282,371,291,511,261,861,133,902,93,447,89,375,86,322,43,189,13,71,0,0,0,0,0,0,
풍무 [김포골드라인],~,2025-01-09(목),0,0,120,12,409,69,796,111,785,198,384,182,222,127,229,141,266,174,225,242,211,223,226,243,248,334,262,456,267,824,122,877,95,410,90,367,96,314,43,178,14,59,0,0,0,0,0,0,
풍무 [김포골드라인],~,2025-01-10(금),0,0,103,11,359,58,798,99,729,235,366,194,332,163,291,148,264,206,252,279,253,272,277,301,330,319,339,495,345,803,184,841,129,390,116,340,99,326,51,244,20,125,0,0,0,0,0,0,
풍무 [김포골드라인],~,2025-01-11(토),0,0,55,3,74,54,159,67,241,97,282,126,350,138,372,148,401,245,390,232,316,288,345,293,330,328,245,346,210,292,163,281,87,293,87,261,79,256,39,164,0,0,0,0,0,0,0,0,
