정류장명,정류장번호,일자,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
고촌 [김포골드라인],~,2025-04-20(일),1,0,42,12,63,66,145,65,217,121,277,178,350,162,278,173,345,174,277,222,281,234,292,278,227,328,218,301,173,279,164,280,139,237,112,215,82,195,18,121,0,0,0,0,0,0,0,0,
고촌 [김포골드라인],~,2025-04-21(월),0,0,124,21,343,120,703,172,732,334,501,227,363,183,265,182,298,208,268,251,206,223,263,345,306,447,333,591,371,848,174,792,121,449,110,373,92,349,38,184,28,66,0,0,0,0,0,0,
고촌 [김포골드라인],~,2025-04-22(화),1,0,104,24,313,104,691,131,764,326,439,190,334,151,274,134,233,185,228,211,183,220,198,304,285,384,299,565,338,849,171,742,110,391,117,366,62,341,38,211,20,69,0,0,0,0,0,0,
고촌 [김포골드라인],~,2025-04-23(수),0,0,114,19,369,133,706,187,752,339,507,224,374,186,323,189,303,232,285,295,270,277,260,357,355,435,379,601,375,869,170,825,145,458,132,398,93,380,25,232,20,90,0,0,0,0,0,0,
고촌 [김포골드라인],~,2025-04-24(목),1,0,106,19,370,110,680,162,795,343,500,231,378,176,317,188,268,233,289,265,251,295,319,373,341,487,364,618,366,936,186,757,146,446,118,405,93,395,43,255,14,72,0,0,0,0,0,0,
고촌 [김포골드라인],~,2025-04-25(금),1,0,115,19,324,121,627,200,725,352,503,222,383,183,326,203,293,216,389,273,290,326,314,375,402,493,446,704,469,868,219,716,163,436,142,385,105,443,74,306,19,126,0,0,0,0,0,0,
고촌 [김포골드라인],~,2025-04-26(토),1,0,69,15,119,80,218,111,385,180,388,226,433,170,450,263,454,264,393,253,406,307,348,364,354,384,322,473,249,414,201,339,138,330,168,372,81,337,27,196,0,0,0,0,0,0,0,0,
고촌 [김포골드라인],~,2025-04-27(일),2,1,46,6,85,53,129,83,196,131,303,187,308,165,295,179,373,149,301,223,300,235,248,257,240,311,227,316,212,293,138,270,140,226,115,246,58,236,13,87,0,0,0,0,0,0,0,0,
고촌 [김포골드라인],~,2025-04-28(월),1,0,109,19,334,108,717,172,743,365,477,245,348,163,316,202,262,204,289,248,233,281,269,321,303,447,367,573,365,884,156,764,119,462,114,425,96,300,37,194,16,78,0,0,0,0,0,0,
고촌 [김포골드라인],~,2025-04-29(화),1,0,111,17,356,109,733,176,773,352,547,227,361,194,298,180,268,217,276,271,226,265,255,338,343,427,393,582,323,874,188,770,145,488,132,412,86,401,39,220,14,87,0,0,0,0,0,0,
고촌 [김포골드라인],~,2025-04-30(수),2,0,118,23,324,111,733,181,764,357,522,221,362,181,321,209,264,187,320,253,306,290,326,373,344,457,434,616,406,845,210,795,140,482,158,465,104,413,46,323,22,92,0,0,0,0,0,0,
고촌 [김포골드라인],~,2025-05-01(목),0,0,63,9,139,69,210,115,354,174,318,167,272,130,256,136,213,143,256,186,268,205,217,221,279,304,264,382,209,351,163,323,117,270,127,320,86,259,36,186,19,59,0,0,0,0,0,0,
고촌 [김포골드라인],~,2025-05-02(금),1,0,101,12,242,96,498,153,641,303,527,236,366,195,362,201,260,222,300,268,263,267,345,406,409,453,437,611,422,818,199,651,156,386,166,403,101,409,51,253,26,100,0,0,0,0,0,0,
고촌 [김포골드라인],~,2025-05-03(토),1,0,59,10,102,61,189,100,287,140,357,179,346,174,367,190,397,266,330,273,346,236,341,323,283,350,269,376,215,293,135,305,123,305,124,334,91,292,46,148,0,0,0,0,0,0,0,0,
