정류장명,정류장번호,일자,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
걸포북변 [김포골드라인],~,2025-10-05(일),1,0,31,10,57,42,106,40,169,70,165,94,197,146,175,118,218,153,234,159,190,179,162,130,173,181,140,171,111,169,93,181,87,122,45,143,62,138,22,76,0,0,0,0,0,0,0,0,
걸포북변 [김포골드라인],~,2025-10-06(월),0,0,28,14,48,24,62,50,70,55,90,65,83,67,126,80,110,90,136,70,109,84,155,90,111,144,102,120,107,120,67,87,86,82,67,80,46,72,16,69,0,0,0,0,0,0,0,0,
걸포북변 [김포골드라인],~,2025-10-07(화),1,0,26,9,29,30,68,31,93,39,122,69,166,64,193,93,217,116,202,118,204,149,170,119,230,196,189,189,123,180,107,150,85,134,77,138,56,137,24,104,0,0,0,0,0,0,0,0,
걸포북변 [김포골드라인],~,2025-10-08(수),5,0,28,16,60,31,100,61,182,63,218,86,230,98,267,119,300,133,325,113,269,166,231,175,204,205,198,247,161,233,121,194,116,229,81,240,58,199,29,160,0,0,0,0,0,0,0,0,
걸포북변 [김포골드라인],~,2025-10-09(목),0,0,32,9,59,34,116,38,189,53,227,99,250,100,290,149,297,116,308,138,245,166,219,190,248,229,172,254,149,231,143,241,109,208,71,206,58,187,18,101,0,0,0,0,0,0,0,0,
걸포북변 [김포골드라인],~,2025-10-10(금),0,0,86,23,264,73,599,111,570,173,370,106,295,129,248,144,298,179,245,203,237,252,274,245,278,271,279,321,240,480,152,441,92,321,65,234,74,242,25,150,10,70,0,0,0,0,0,0,
걸포북변 [김포골드라인],~,2025-10-11(토),1,0,43,15,79,71,150,58,256,80,280,134,321,107,269,126,276,167,330,193,290,242,245,197,261,290,198,305,158,236,117,208,81,234,66,213,57,213,22,122,0,0,0,0,0,0,0,0,
걸포북변 [김포골드라인],~,2025-10-12(일),0,0,34,18,67,38,116,39,162,95,239,120,244,183,270,168,341,188,295,222,293,249,282,215,246,243,201,235,172,262,117,201,79,188,71,165,52,146,20,75,0,0,0,0,0,0,0,0,
걸포북변 [김포골드라인],~,2025-10-13(월),1,0,128,29,463,85,1005,153,950,225,399,118,307,138,279,156,220,164,205,177,171,173,167,276,239,355,238,425,211,683,128,693,91,364,56,293,38,245,31,106,9,38,0,0,0,0,0,0,
걸포북변 [김포골드라인],~,2025-10-14(화),0,0,104,23,424,94,1083,139,917,251,430,145,325,118,246,164,249,219,243,194,188,215,213,244,252,360,309,526,236,677,148,714,91,403,72,317,55,284,33,152,17,55,0,0,0,0,0,0,
걸포북변 [김포골드라인],~,2025-10-15(수),0,0,115,27,391,104,1013,129,950,276,435,175,304,141,263,158,307,193,224,157,224,195,229,292,273,427,327,513,241,627,156,709,90,385,65,305,78,266,30,143,14,44,0,0,0,0,0,0,
걸포북변 [김포골드라인],~,2025-10-16(목),0,0,94,33,424,81,970,134,995,305,464,147,315,137,243,127,257,192,236,208,213,202,218,293,290,340,309,537,265,648,156,710,81,372,76,384,75,309,49,147,17,56,0,0,0,0,0,0,
걸포북변 [김포골드라인],~,2025-10-17(금),0,0,106,30,398,88,947,151,946,251,450,190,323,192,323,222,284,261,270,242,269,251,288,322,285,367,328,453,262,644,165,644,110,384,83,310,79,271,30,181,19,71,0,0,0,0,0,0,
걸포북변 [김포골드라인],~,2025-10-18(토),0,0,68,21,105,67,188,66,346,119,330,139,370,141,366,193,305,186,363,211,298,226,356,239,335,292,332,307,218,278,182,271,92,262,111,493,62,283,38,173,0,0,0,0,0,0,0,0,
