정류장명,정류장번호,일자,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
고촌 [김포골드라인],~,2025-10-05(일),2,0,33,8,54,56,76,55,128,84,167,112,201,118,233,126,231,140,238,183,193,181,195,192,202,250,165,200,153,222,109,191,95,165,95,138,57,191,29,112,0,0,0,0,0,0,0,0,
고촌 [김포골드라인],~,2025-10-06(월),0,0,31,5,44,41,61,65,71,66,143,70,125,67,165,103,183,101,145,128,133,123,165,101,142,152,159,164,104,160,75,132,61,106,51,122,35,95,18,75,0,0,0,0,0,0,0,0,
고촌 [김포골드라인],~,2025-10-07(화),2,0,24,12,57,40,84,40,103,59,162,80,176,109,185,131,214,125,213,151,229,163,203,182,213,214,196,229,162,211,129,200,100,178,105,213,49,167,26,142,0,0,0,0,0,0,0,0,
고촌 [김포골드라인],~,2025-10-08(수),1,0,34,13,70,49,100,76,153,106,244,184,271,142,359,160,357,141,324,207,259,178,284,266,237,301,285,323,228,343,133,275,114,263,134,288,63,263,47,129,0,0,0,0,0,0,0,0,
고촌 [김포골드라인],~,2025-10-09(목),1,0,33,8,64,51,111,89,188,141,225,153,250,146,367,160,309,175,311,184,258,225,273,243,282,311,255,326,189,343,115,285,135,256,102,226,67,205,36,138,0,0,0,0,0,0,0,0,
고촌 [김포골드라인],~,2025-10-10(금),1,0,75,15,217,64,449,121,506,265,373,177,368,192,346,178,324,231,249,272,215,259,299,340,272,350,326,475,341,648,153,519,106,313,131,301,81,322,45,233,17,59,0,0,0,0,0,0,
고촌 [김포골드라인],~,2025-10-11(토),0,0,51,11,83,60,149,106,265,165,307,173,296,141,398,179,372,199,298,266,272,227,341,292,310,317,228,360,192,375,135,290,115,287,103,233,50,250,42,146,0,0,0,0,0,0,0,0,
고촌 [김포골드라인],~,2025-10-12(일),1,0,39,10,79,55,108,75,185,123,247,154,277,152,232,139,296,186,363,240,276,208,285,261,222,292,195,293,176,331,114,277,112,235,111,238,62,170,19,77,0,0,0,0,0,0,0,0,
고촌 [김포골드라인],~,2025-10-13(월),1,0,126,13,344,106,794,153,760,325,442,209,304,154,289,169,234,215,224,243,191,212,259,307,265,380,268,563,317,912,136,850,123,401,92,333,84,298,38,146,10,46,0,0,0,0,0,0,
고촌 [김포골드라인],~,2025-10-14(화),0,0,132,15,356,114,755,166,789,345,512,222,401,177,361,187,281,285,229,284,257,234,258,319,329,415,357,632,330,910,185,814,110,389,99,371,79,398,33,186,11,50,0,0,0,0,0,0,
고촌 [김포골드라인],~,2025-10-15(수),0,0,123,19,364,121,731,171,790,346,475,237,346,166,289,176,296,219,233,259,240,255,292,327,337,428,361,668,343,902,184,845,137,397,118,339,90,333,46,168,24,74,0,0,0,0,0,0,
고촌 [김포골드라인],~,2025-10-16(목),0,0,119,15,354,96,758,172,982,353,479,239,366,165,338,183,275,235,270,251,230,245,297,635,358,434,357,631,355,907,181,831,137,456,137,358,100,341,29,219,24,88,0,0,0,0,0,0,
고촌 [김포골드라인],~,2025-10-17(금),0,0,117,19,319,92,714,177,770,365,479,241,352,183,296,197,322,232,269,264,259,275,292,376,395,445,380,622,410,890,191,795,156,366,132,351,83,400,53,236,11,76,0,0,0,0,0,0,
고촌 [김포골드라인],~,2025-10-18(토),1,0,71,10,97,75,182,104,311,182,386,209,395,207,432,197,467,239,364,258,342,287,341,328,347,363,351,434,255,403,187,330,111,320,139,396,71,349,42,202,0,0,0,0,0,0,0,0,
