정류장명,정류장번호,일자,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
고촌 [김포골드라인],~,2025-09-07(일),1,0,49,17,68,64,124,83,195,123,246,161,270,147,241,143,296,179,296,185,287,223,261,264,238,317,227,298,183,305,153,257,131,210,104,248,77,207,25,114,0,0,0,0,0,0,0,0,
고촌 [김포골드라인],~,2025-09-08(월),0,0,118,18,364,116,753,179,777,348,480,234,365,189,353,175,300,209,234,242,192,228,274,313,292,394,335,592,333,831,156,794,102,434,93,385,75,338,36,181,14,63,0,0,0,0,0,0,
고촌 [김포골드라인],~,2025-09-09(화),1,0,110,17,369,123,748,197,804,340,487,229,367,188,357,164,254,217,233,266,222,193,291,317,351,382,315,652,335,905,181,809,129,412,125,346,92,383,45,228,14,64,0,0,0,0,0,0,
고촌 [김포골드라인],~,2025-09-10(수),0,0,127,18,372,120,751,183,764,319,478,217,351,168,314,153,275,227,207,238,262,238,254,306,341,403,338,637,344,858,174,768,162,460,146,362,88,397,70,233,15,79,0,0,0,0,0,0,
고촌 [김포골드라인],~,2025-09-11(목),1,0,127,19,372,121,733,179,786,316,497,227,425,179,312,211,295,205,275,260,206,236,259,338,344,423,355,618,310,887,181,828,150,411,124,383,82,356,47,234,26,68,0,0,0,0,0,0,
고촌 [김포골드라인],~,2025-09-12(금),0,0,127,25,342,94,686,186,726,345,473,220,334,169,359,210,294,216,288,273,236,251,295,358,374,439,410,647,394,892,211,703,160,383,114,415,87,427,50,315,18,108,0,0,0,0,0,0,
고촌 [김포골드라인],~,2025-09-13(토),0,0,61,11,101,85,187,109,334,178,405,208,391,180,431,205,405,247,394,259,321,289,334,361,358,410,301,373,226,378,140,319,114,295,121,310,77,345,43,222,0,0,0,0,0,0,0,0,
고촌 [김포골드라인],~,2025-09-14(일),1,0,46,16,94,55,129,99,197,119,293,161,325,125,290,147,356,196,294,228,305,219,266,269,275,327,208,304,203,310,144,279,130,237,118,261,53,260,28,130,0,0,0,0,0,0,0,0,
고촌 [김포골드라인],~,2025-09-15(월),0,0,124,17,397,129,767,186,795,346,498,233,410,182,362,207,290,226,234,229,239,220,323,368,312,409,296,589,323,879,176,796,113,425,114,382,71,332,48,189,8,55,0,0,0,0,0,0,
고촌 [김포골드라인],~,2025-09-16(화),1,0,117,17,380,126,733,192,804,351,482,229,341,208,310,150,317,249,238,281,192,205,206,326,349,371,335,595,300,900,153,817,134,393,106,347,80,326,39,192,12,67,0,0,0,0,0,0,
고촌 [김포골드라인],~,2025-09-17(수),0,0,108,20,352,112,702,198,759,337,444,216,297,142,288,162,244,176,204,262,240,207,291,297,313,367,300,537,346,940,165,747,125,389,111,406,92,362,43,194,16,65,0,0,0,0,0,0,
고촌 [김포골드라인],~,2025-09-18(목),2,0,120,19,362,121,756,181,785,324,475,232,359,197,327,147,303,213,256,275,218,237,251,305,394,420,371,616,343,878,181,829,139,379,110,389,71,367,39,247,17,79,0,0,0,0,0,0,
고촌 [김포골드라인],~,2025-09-19(금),1,0,119,15,319,119,717,186,744,341,470,219,405,162,299,178,328,246,256,276,249,256,321,335,343,420,396,634,381,810,203,751,127,436,123,340,106,374,58,248,18,87,0,0,0,0,0,0,
고촌 [김포골드라인],~,2025-09-20(토),2,0,70,15,104,87,187,129,279,220,362,218,379,218,423,197,485,258,380,274,392,302,328,358,345,381,288,455,263,420,156,365,120,297,135,329,82,312,39,174,0,0,0,0,0,0,0,0,
