정류장명,정류장번호,일자,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
고촌 [김포골드라인],~,2024-12-01(일),1,0,41,15,72,49,116,70,181,109,252,159,327,152,297,135,311,174,305,262,267,228,284,284,206,309,196,322,174,291,146,233,122,233,91,255,52,191,25,91,0,0,0,0,0,0,0,0,
고촌 [김포골드라인],~,2024-12-02(월),3,0,112,16,337,115,662,180,712,327,516,240,337,162,337,196,262,237,243,281,207,236,311,351,266,411,338,549,375,882,172,773,111,449,109,421,75,321,31,193,23,53,0,0,0,0,0,0,
고촌 [김포골드라인],~,2024-12-03(화),1,0,117,15,314,122,681,167,740,324,463,201,351,173,314,166,243,196,242,271,238,236,256,348,333,403,386,585,375,765,164,785,119,435,104,394,102,366,47,206,18,80,0,0,0,0,0,0,
고촌 [김포골드라인],~,2024-12-04(수),1,0,116,19,287,103,672,177,722,327,453,197,330,135,254,160,268,225,244,285,260,276,346,354,325,461,341,639,357,810,158,760,160,437,113,366,92,351,55,226,11,72,0,0,0,0,0,0,
고촌 [김포골드라인],~,2024-12-05(목),0,0,100,21,304,113,665,172,689,317,496,187,356,153,285,199,248,226,246,260,233,242,294,331,308,405,350,606,341,855,148,725,140,410,130,391,96,355,51,232,20,86,0,0,0,0,0,0,
고촌 [김포골드라인],~,2024-12-06(금),1,0,100,20,288,97,625,168,705,330,436,185,352,155,237,192,294,236,290,277,254,271,352,343,366,444,400,596,400,836,177,606,162,428,123,416,109,410,65,282,26,140,0,0,0,0,0,0,
고촌 [김포골드라인],~,2024-12-07(토),1,0,53,15,106,68,143,116,314,138,357,205,395,154,421,204,461,230,413,254,408,292,409,347,417,412,299,411,255,415,157,412,144,348,133,362,87,295,29,183,0,0,0,0,0,0,0,0,
고촌 [김포골드라인],~,2024-12-08(일),3,1,39,17,59,47,95,61,175,96,255,129,261,138,281,135,295,170,258,157,267,194,233,247,230,331,198,303,167,265,116,271,133,214,97,214,56,199,25,92,0,0,0,0,0,0,0,0,
고촌 [김포골드라인],~,2024-12-09(월),0,0,106,16,307,132,663,168,709,321,496,209,380,150,308,161,237,211,282,227,227,261,333,331,323,452,345,584,328,860,145,752,96,443,107,406,73,348,32,201,24,57,0,0,0,0,0,0,
고촌 [김포골드라인],~,2024-12-10(화),2,0,111,23,342,93,642,169,742,311,517,191,387,160,294,169,270,222,271,257,242,266,272,360,354,403,337,610,324,850,142,738,133,421,114,391,75,334,50,220,14,73,0,0,0,0,0,0,
고촌 [김포골드라인],~,2024-12-11(수),1,0,103,16,302,104,663,161,742,323,524,197,344,171,364,164,315,251,261,275,266,267,306,392,293,461,355,595,376,860,158,718,106,459,128,415,87,380,54,215,19,76,0,0,0,0,0,0,
고촌 [김포골드라인],~,2024-12-12(목),2,0,117,20,286,113,661,163,763,316,492,182,357,155,285,187,301,214,329,285,293,262,344,377,342,470,382,545,364,856,162,699,119,470,115,462,109,394,59,234,21,103,0,0,0,0,0,0,
고촌 [김포골드라인],~,2024-12-13(금),1,0,103,18,268,90,627,185,694,308,481,195,360,146,293,171,281,225,353,306,288,293,325,410,400,470,496,629,450,827,205,670,154,431,150,434,113,410,55,304,35,128,0,0,0,0,0,0,
고촌 [김포골드라인],~,2024-12-14(토),1,0,50,11,76,55,150,108,305,140,387,176,429,170,506,252,475,237,504,223,516,271,443,344,412,431,322,431,219,479,127,459,146,342,129,350,98,318,45,250,0,0,0,0,0,0,0,0,
