정류장명,정류장번호,일자,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
구래 [김포골드라인],~,2025-06-01(일),3,1,133,21,153,86,273,117,460,175,530,297,506,314,458,346,510,392,491,554,480,569,501,564,482,557,450,589,439,602,327,521,355,413,246,334,146,303,73,177,0,23,0,0,0,0,0,0,
구래 [김포골드라인],~,2025-06-02(월),9,0,234,41,750,184,1361,389,1264,614,774,397,492,309,473,419,486,448,434,388,399,467,493,507,605,665,556,792,733,1066,425,1044,321,662,283,514,248,457,130,280,44,143,0,2,0,0,0,0,
구래 [김포골드라인],~,2025-06-03(화),6,0,100,27,178,110,313,145,530,220,507,306,492,305,522,381,499,475,508,517,481,519,544,605,501,624,532,525,469,542,373,474,350,371,264,373,211,353,68,209,0,32,0,0,0,0,0,0,
구래 [김포골드라인],~,2025-06-04(수),8,0,254,32,804,179,1453,447,1276,586,731,390,519,291,468,357,508,412,439,398,410,438,487,487,481,659,574,764,646,999,418,1035,294,626,264,468,209,412,119,273,37,97,0,0,0,0,0,0,
구래 [김포골드라인],~,2025-06-05(목),6,0,222,37,752,175,1337,353,1255,635,739,388,569,353,506,425,555,444,516,456,510,515,470,587,550,709,706,792,700,1114,488,1011,361,722,311,532,250,532,145,363,56,133,0,0,0,0,0,0,
구래 [김포골드라인],~,2025-06-06(금),2,0,118,22,189,118,276,140,530,252,630,308,611,358,565,445,582,426,536,574,578,524,581,609,598,576,528,708,435,672,386,586,392,476,358,472,253,369,112,264,0,43,0,0,0,0,0,0,
구래 [김포골드라인],~,2025-06-07(토),0,0,141,22,181,95,335,154,610,304,699,344,626,362,645,437,650,510,624,566,552,542,589,611,535,637,480,662,437,607,341,547,348,484,276,451,260,361,122,253,0,47,0,0,0,0,0,0,
구래 [김포골드라인],~,2025-06-08(일),5,0,89,22,163,78,271,113,469,162,517,276,536,291,470,342,484,399,450,539,471,611,440,585,470,640,431,621,457,593,333,492,331,419,229,412,212,281,56,178,0,20,0,0,0,0,0,0,
구래 [김포골드라인],~,2025-06-09(월),7,1,261,43,863,177,1447,389,1293,628,806,389,541,325,437,417,529,385,419,389,349,455,473,479,536,596,540,779,614,1078,416,971,294,620,219,466,198,420,112,231,44,88,0,0,0,0,0,0,
구래 [김포골드라인],~,2025-06-10(화),6,1,247,42,812,180,1375,376,1343,638,723,401,481,335,485,371,540,412,455,445,367,428,443,513,491,673,604,733,623,1031,418,982,302,627,235,499,206,452,107,282,40,105,0,0,0,0,0,0,
구래 [김포골드라인],~,2025-06-11(수),4,0,219,39,766,178,1403,389,1361,625,743,354,546,298,425,352,484,409,404,365,381,461,461,482,510,690,578,744,638,1056,386,1007,309,665,284,436,224,414,82,285,44,125,0,1,0,0,0,0,
구래 [김포골드라인],~,2025-06-12(목),8,1,225,34,779,193,1419,398,1264,659,753,357,555,378,492,367,489,353,441,404,367,461,466,527,524,667,579,791,619,1004,378,993,309,673,277,459,227,499,109,267,33,142,0,0,0,0,0,0,
구래 [김포골드라인],~,2025-06-13(금),6,0,215,45,706,172,1320,370,1262,644,776,373,536,349,500,392,480,419,480,434,441,472,444,559,633,752,738,822,774,1162,461,1061,369,702,288,515,234,518,159,325,45,152,0,1,0,0,0,0,
구래 [김포골드라인],~,2025-06-14(토),4,0,141,27,219,97,421,184,697,348,641,350,686,363,680,458,670,465,672,606,646,627,605,648,581,612,564,719,412,720,412,647,328,562,381,478,246,400,113,282,0,50,0,0,0,0,0,0,
