정류장명,정류장번호,일자,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
구래 [김포골드라인],~,2024-12-01(일),3,0,85,23,150,78,286,101,433,147,507,206,555,270,556,302,488,378,448,512,465,591,504,577,462,599,483,719,357,585,298,515,322,411,262,339,203,301,52,181,0,28,0,0,0,0,0,0,
구래 [김포골드라인],~,2024-12-02(월),8,0,245,30,804,164,1421,419,1249,563,799,357,517,330,505,365,453,398,458,385,387,436,448,550,513,648,577,793,583,1028,395,994,292,598,250,454,216,425,111,224,42,92,0,0,0,0,0,0,
구래 [김포골드라인],~,2024-12-03(화),8,0,230,43,752,163,1430,370,1287,595,726,339,537,302,468,324,481,371,420,432,397,429,403,485,481,630,512,805,667,1015,390,981,262,606,248,454,217,482,139,238,35,116,0,2,0,0,0,0,
구래 [김포골드라인],~,2024-12-04(수),7,0,219,34,710,152,1376,369,1302,567,669,344,503,332,483,339,513,402,431,421,417,482,490,530,536,702,584,717,600,1026,396,920,273,628,269,478,215,451,114,267,34,122,0,0,0,0,0,0,
구래 [김포골드라인],~,2024-12-05(목),9,0,217,46,746,148,1365,398,1229,542,708,336,520,311,500,346,472,320,447,421,369,456,434,541,472,616,542,788,622,1004,344,917,288,681,248,441,215,453,111,291,65,137,0,0,0,0,0,0,
구래 [김포골드라인],~,2024-12-06(금),10,0,210,29,685,146,1239,365,1202,551,723,385,531,341,514,339,497,402,468,448,474,523,520,562,571,756,676,789,718,1082,496,1052,344,657,315,545,260,514,147,320,65,208,0,0,0,0,0,0,
구래 [김포골드라인],~,2024-12-07(토),9,0,121,32,165,89,350,157,583,277,677,321,725,356,696,465,801,499,768,516,814,634,638,622,641,713,607,781,418,774,337,645,304,530,287,513,282,438,102,302,2,65,0,0,0,0,0,0,
구래 [김포골드라인],~,2024-12-08(일),4,0,93,15,131,75,260,100,375,130,467,228,531,239,477,316,477,387,463,464,455,483,361,514,455,509,429,633,327,577,278,478,289,401,242,350,165,298,66,154,0,20,0,0,0,0,0,0,
구래 [김포골드라인],~,2024-12-09(월),6,0,253,43,810,168,1366,399,1217,541,700,351,527,310,461,346,485,372,470,426,370,511,438,552,501,648,491,673,619,972,362,932,279,595,197,452,188,416,105,247,35,118,0,0,0,0,0,0,
구래 [김포골드라인],~,2024-12-10(화),3,0,216,36,770,176,1367,399,1291,536,714,351,547,284,554,316,448,390,456,476,394,509,446,515,516,630,539,769,590,986,377,1004,277,622,229,427,177,408,114,277,65,103,0,1,0,0,0,0,
구래 [김포골드라인],~,2024-12-11(수),5,0,221,38,733,146,1339,360,1251,546,712,324,514,281,486,290,412,388,441,430,428,500,450,536,523,661,563,705,626,1058,375,946,266,594,298,502,195,432,108,263,50,129,0,0,0,0,0,0,
구래 [김포골드라인],~,2024-12-12(목),9,0,214,30,714,157,1335,371,1262,530,746,319,555,340,546,337,466,422,476,566,454,615,517,632,605,701,611,784,697,1005,447,928,338,604,267,481,241,494,135,298,38,121,0,1,0,0,0,0,
구래 [김포골드라인],~,2024-12-13(금),7,0,231,32,652,162,1285,371,1159,554,753,360,558,355,543,402,509,588,498,584,512,583,567,607,708,825,813,817,831,1110,532,992,423,709,338,562,278,534,154,351,69,181,0,2,0,0,0,0,
구래 [김포골드라인],~,2024-12-14(토),2,0,122,25,226,101,347,171,619,277,680,313,797,353,824,509,827,522,799,598,838,632,758,567,713,731,612,848,472,864,344,769,379,682,349,542,271,450,134,351,1,74,0,0,0,0,0,0,
