정류장명,정류장번호,일자,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
김포공항 [김포골드라인],~,2025-10-05(일),4,0,31,5,44,31,40,17,70,15,102,37,109,22,100,35,146,33,124,51,100,45,93,47,110,45,126,37,92,42,73,36,63,26,60,25,58,20,55,14,0,0,0,0,0,0,0,0,
김포공항 [김포골드라인],~,2025-10-06(월),4,0,36,6,44,22,61,8,57,14,84,17,84,20,72,34,97,26,69,31,93,36,88,44,109,37,78,30,50,23,51,16,45,18,57,19,68,13,37,7,0,2,0,0,0,0,0,0,
김포공항 [김포골드라인],~,2025-10-07(화),1,0,35,4,40,21,36,13,55,19,82,40,105,41,101,38,115,39,136,72,125,62,110,69,111,66,93,44,77,51,85,18,117,48,67,30,58,19,58,22,0,1,0,0,0,0,0,0,
김포공항 [김포골드라인],~,2025-10-08(수),0,0,39,5,40,24,47,27,69,17,84,51,63,54,90,53,89,47,73,75,81,53,75,70,118,77,130,61,94,71,82,51,91,49,49,41,45,31,7,13,1,3,0,0,0,0,0,0,
김포공항 [김포골드라인],~,2025-10-09(목),1,0,38,6,56,41,60,17,72,19,72,40,79,48,78,57,88,56,68,63,91,70,77,66,95,67,76,72,80,61,87,36,77,54,58,30,49,48,9,9,0,0,0,0,0,0,0,0,
김포공항 [김포골드라인],~,2025-10-10(금),4,0,76,8,176,40,284,62,259,53,134,53,86,27,93,44,102,34,93,39,99,26,81,63,146,57,141,82,197,102,94,96,82,63,44,62,58,59,36,19,3,24,0,0,0,0,0,0,
김포공항 [김포골드라인],~,2025-10-11(토),1,0,64,2,73,26,94,16,117,33,128,46,96,40,129,45,165,38,118,56,124,63,112,48,98,75,97,69,83,76,72,40,124,46,60,49,67,34,23,14,0,2,0,0,0,0,0,0,
김포공항 [김포골드라인],~,2025-10-12(일),1,0,42,7,39,38,54,14,72,29,73,44,63,40,57,40,86,37,83,64,77,50,78,43,97,58,56,53,64,54,71,49,95,54,54,35,35,29,11,4,0,5,0,0,0,0,0,0,
김포공항 [김포골드라인],~,2025-10-13(월),2,0,83,6,201,50,400,99,382,83,184,50,94,27,82,25,96,34,72,28,89,36,74,44,149,45,204,64,229,135,138,125,81,51,68,50,60,46,21,8,2,11,0,3,0,0,0,0,
김포공항 [김포골드라인],~,2025-10-14(화),2,0,111,12,211,51,396,100,421,78,196,64,111,38,95,46,92,44,75,20,100,32,73,45,134,51,218,93,302,151,135,109,91,71,55,66,62,50,17,22,4,17,0,7,0,0,0,0,
김포공항 [김포골드라인],~,2025-10-15(수),3,0,90,6,213,50,414,99,418,85,187,58,89,35,80,50,84,34,46,36,79,44,58,48,133,66,249,91,271,169,141,98,134,86,57,66,66,49,37,21,5,24,0,2,0,0,0,0,
김포공항 [김포골드라인],~,2025-10-16(목),2,0,92,14,194,71,420,99,388,76,187,58,101,51,77,44,85,36,90,50,80,36,67,52,159,65,262,100,273,141,99,112,87,74,72,65,54,52,12,14,5,23,0,1,0,0,0,0,
김포공항 [김포골드라인],~,2025-10-17(금),4,0,85,10,186,58,403,87,387,79,159,52,92,37,94,49,60,45,64,36,79,43,73,50,178,63,272,88,293,147,111,115,121,62,100,61,50,50,51,18,6,22,0,1,0,0,0,0,
김포공항 [김포골드라인],~,2025-10-18(토),2,0,76,5,77,35,108,17,159,26,165,61,125,41,102,53,121,59,86,54,87,52,81,63,119,84,104,75,92,89,72,62,80,47,61,65,64,52,16,14,0,2,0,0,0,0,0,0,
