정류장명,정류장번호,일자,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
김포공항 [김포골드라인],~,2025-04-06(일),3,0,26,7,45,29,28,15,63,19,69,37,52,35,49,37,65,34,68,43,71,43,96,51,97,50,64,41,56,33,33,37,76,29,46,31,54,23,13,9,0,1,0,0,0,0,0,0,
김포공항 [김포골드라인],~,2025-04-07(월),2,0,95,7,182,51,434,80,355,62,132,50,89,33,78,35,65,39,54,37,76,31,61,36,128,43,210,74,254,98,117,87,77,50,48,30,41,36,15,10,5,20,0,3,0,0,0,0,
김포공항 [김포골드라인],~,2025-04-08(화),4,0,96,10,181,46,426,90,386,58,120,57,87,49,58,51,85,39,59,22,62,24,67,31,130,49,236,63,266,104,113,74,78,47,48,41,65,47,12,20,2,17,0,3,0,0,0,0,
김포공항 [김포골드라인],~,2025-04-09(수),3,0,104,7,207,44,438,91,385,58,146,44,77,35,72,43,73,31,64,32,65,31,56,36,120,48,256,61,239,107,103,55,75,59,45,30,53,41,19,19,1,11,0,4,0,0,0,0,
김포공항 [김포골드라인],~,2025-04-10(목),2,0,86,4,180,63,434,90,359,61,121,67,87,38,75,53,69,31,69,39,69,33,91,26,128,36,213,54,272,88,99,68,76,42,62,45,60,30,23,21,3,26,0,1,0,0,0,0,
김포공항 [김포골드라인],~,2025-04-11(금),4,0,78,8,192,46,400,91,341,72,120,45,85,35,71,47,81,32,78,36,73,26,79,31,130,51,235,80,265,100,104,65,73,54,59,41,57,38,28,24,7,23,0,3,0,0,0,0,
김포공항 [김포골드라인],~,2025-04-12(토),1,0,47,3,50,25,56,18,70,30,85,41,83,38,78,57,61,49,91,36,111,37,121,46,115,31,77,36,77,27,38,24,68,34,55,17,51,20,22,5,0,1,0,0,0,0,0,0,
김포공항 [김포골드라인],~,2025-04-13(일),0,0,36,6,54,37,56,17,74,16,74,34,63,38,64,49,75,38,88,44,84,29,100,21,95,41,97,38,70,36,69,52,102,29,61,20,74,25,8,8,0,4,0,0,0,0,0,0,
김포공항 [김포골드라인],~,2025-04-14(월),3,0,82,11,188,43,416,94,339,57,133,23,87,28,91,17,93,18,72,30,66,29,72,20,157,33,242,54,297,92,116,61,79,52,60,34,78,54,20,13,0,20,0,0,0,0,0,0,
김포공항 [김포골드라인],~,2025-04-15(화),2,0,85,7,195,42,408,85,390,47,132,54,95,38,54,32,78,26,63,37,63,27,70,23,139,39,226,58,259,105,97,57,55,45,58,47,53,37,19,24,4,26,0,2,0,0,0,0,
김포공항 [김포골드라인],~,2025-04-16(수),2,0,90,6,187,48,427,88,406,66,127,49,80,34,74,38,79,31,74,39,68,34,75,32,139,61,206,60,261,90,117,73,87,49,62,42,59,34,19,21,2,20,0,4,0,0,0,0,
김포공항 [김포골드라인],~,2025-04-17(목),2,0,88,12,200,56,406,87,357,56,120,46,84,41,79,55,87,20,61,27,62,43,79,45,138,46,225,80,277,90,114,61,79,50,61,38,53,45,21,18,1,21,0,1,0,0,0,0,
김포공항 [김포골드라인],~,2025-04-18(금),5,0,92,6,172,52,416,80,354,59,113,51,64,31,73,31,75,38,47,31,70,27,72,37,138,44,236,66,277,77,102,68,71,43,62,35,57,43,33,29,2,24,0,7,0,0,0,0,
김포공항 [김포골드라인],~,2025-04-19(토),7,0,61,4,53,27,59,18,79,21,91,44,123,49,149,34,98,46,104,42,100,39,88,37,129,34,112,51,82,47,90,27,78,35,59,27,69,25,33,16,0,2,0,0,0,0,1,0,
