정류장명,정류장번호,일자,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
마산 [김포골드라인],~,2025-05-18(일),0,0,29,6,38,16,66,28,112,68,163,76,139,69,165,78,193,88,237,131,154,153,137,155,150,223,121,242,126,315,70,174,110,117,294,139,63,114,10,57,0,0,0,0,0,0,0,0,
마산 [김포골드라인],~,2025-05-19(월),0,0,81,8,256,31,502,81,474,191,252,81,183,77,142,87,129,125,107,131,109,99,165,154,160,195,149,234,161,369,81,386,52,210,42,144,41,137,17,90,5,31,0,0,0,0,0,0,
마산 [김포골드라인],~,2025-05-20(화),0,0,73,7,245,25,487,71,470,200,274,69,176,66,123,73,142,120,140,126,114,113,137,182,172,207,249,252,212,400,78,404,64,226,52,161,37,169,29,85,8,41,0,0,0,0,0,0,
마산 [김포골드라인],~,2025-05-21(수),0,0,68,8,259,27,490,67,452,194,270,71,142,84,153,73,127,122,126,122,103,101,117,140,207,212,201,236,184,383,113,372,65,250,57,183,31,169,20,113,3,43,0,0,0,0,0,0,
마산 [김포골드라인],~,2025-05-22(목),0,0,78,8,248,36,477,81,479,196,240,79,155,55,163,76,112,140,111,117,109,100,127,157,173,200,211,249,211,364,83,359,72,234,62,167,32,208,18,107,2,50,0,0,0,0,0,0,
마산 [김포골드라인],~,2025-05-23(금),0,0,75,8,218,33,469,73,482,178,250,82,158,53,181,78,130,130,143,157,144,132,179,178,189,215,222,247,207,354,137,380,84,232,67,159,37,212,24,142,9,62,0,0,0,0,0,0,
마산 [김포골드라인],~,2025-05-24(토),0,0,31,6,66,27,114,57,183,99,291,82,222,106,241,109,238,153,196,149,192,158,191,145,176,225,144,191,117,212,95,163,82,178,61,153,35,132,14,103,0,0,0,0,0,0,0,0,
마산 [김포골드라인],~,2025-05-25(일),0,0,30,3,38,18,68,44,107,79,139,68,178,108,163,85,142,94,165,126,168,132,139,94,169,144,117,124,120,173,52,138,45,118,40,129,24,121,10,70,0,0,0,0,0,0,0,0,
마산 [김포골드라인],~,2025-05-26(월),0,0,86,6,260,32,475,87,480,193,269,75,159,74,133,76,116,115,148,114,96,122,140,165,210,207,157,274,176,347,99,371,68,235,34,166,37,164,11,86,3,35,0,0,0,0,0,0,
마산 [김포골드라인],~,2025-05-27(화),0,0,84,8,247,25,469,79,461,194,263,88,173,58,136,83,120,119,131,115,101,108,130,156,179,192,212,268,198,372,89,376,65,217,49,186,52,180,17,93,5,39,0,0,0,0,0,0,
마산 [김포골드라인],~,2025-05-28(수),0,0,77,6,256,25,467,71,459,199,264,65,151,73,137,74,136,132,133,132,95,106,127,142,214,216,222,257,202,372,96,363,69,239,62,189,40,188,12,114,3,51,0,0,0,0,0,0,
마산 [김포골드라인],~,2025-05-29(목),0,0,69,10,239,28,479,76,476,197,263,70,160,68,141,77,124,115,130,132,106,107,114,122,194,237,231,252,214,352,99,342,57,244,52,156,46,181,14,118,7,45,0,0,0,0,0,0,
마산 [김포골드라인],~,2025-05-30(금),0,0,71,8,260,25,407,66,444,184,255,73,161,79,144,89,129,124,138,138,121,149,182,168,202,216,224,251,247,376,116,352,90,235,71,193,61,193,40,105,13,61,0,0,0,0,0,0,
마산 [김포골드라인],~,2025-05-31(토),0,0,33,9,75,26,108,43,196,78,238,65,210,98,181,106,202,127,172,155,140,153,160,156,159,170,148,182,107,192,76,164,78,166,57,118,43,146,15,92,0,1,0,0,0,0,0,0,
