정류장명,정류장번호,일자,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
마산 [김포골드라인],~,2024-12-01(일),0,0,26,7,43,10,70,27,105,39,140,63,149,76,174,88,178,81,189,116,161,115,137,152,133,130,142,160,116,164,47,148,46,109,43,104,25,97,7,60,0,0,0,0,0,0,0,0,
마산 [김포골드라인],~,2024-12-02(월),0,0,74,9,239,23,470,52,427,191,234,90,180,59,165,71,125,118,126,116,117,113,169,171,179,197,188,258,174,402,73,373,66,228,56,158,27,151,17,118,5,37,0,0,0,0,0,0,
마산 [김포골드라인],~,2024-12-03(화),0,0,67,9,227,15,477,62,453,190,230,85,157,65,150,71,135,132,140,109,115,129,138,155,194,190,192,225,190,361,90,359,48,238,41,166,41,179,15,114,10,46,0,0,0,0,0,0,
마산 [김포골드라인],~,2024-12-04(수),0,0,57,5,221,18,463,62,420,197,238,67,167,49,142,56,122,106,128,87,113,142,184,158,175,202,179,249,176,361,78,369,59,213,62,163,36,177,18,100,15,40,0,0,0,0,0,0,
마산 [김포골드라인],~,2024-12-05(목),0,0,64,10,217,15,455,66,436,190,220,60,149,48,142,78,123,114,137,113,87,117,129,148,200,149,210,220,181,338,99,335,79,211,42,186,33,187,23,90,10,47,0,0,0,0,0,0,
마산 [김포골드라인],~,2024-12-06(금),0,0,64,9,214,17,410,65,448,196,218,78,156,67,163,85,130,112,130,114,125,136,169,156,230,193,238,237,202,363,91,350,75,219,55,171,55,174,33,122,11,54,0,0,0,0,0,0,
마산 [김포골드라인],~,2024-12-07(토),0,0,27,8,42,24,95,45,172,110,195,118,293,123,353,97,254,135,262,142,274,144,220,139,182,182,160,185,120,209,71,185,46,176,38,144,41,153,8,116,0,0,0,0,0,0,0,0,
마산 [김포골드라인],~,2024-12-08(일),0,0,18,4,34,17,58,20,115,46,127,54,125,69,160,81,162,58,164,73,127,107,125,116,149,167,126,144,104,132,48,141,43,133,49,99,23,96,7,53,0,0,0,0,0,0,0,0,
마산 [김포골드라인],~,2024-12-09(월),1,0,83,7,231,20,475,66,412,186,240,65,163,62,129,80,133,99,136,101,124,107,163,151,164,197,157,234,155,324,66,357,63,225,39,151,31,162,21,90,8,33,0,0,0,0,0,0,
마산 [김포골드라인],~,2024-12-10(화),0,0,71,7,234,26,458,66,416,199,253,95,153,63,152,73,156,111,134,128,110,113,139,174,203,164,163,214,165,336,91,344,51,228,36,154,33,158,12,104,8,52,0,0,0,0,0,0,
마산 [김포골드라인],~,2024-12-11(수),0,0,72,8,206,18,456,60,452,168,240,78,182,71,122,78,137,126,154,117,121,148,179,165,142,191,191,225,195,344,89,344,54,215,48,163,32,167,17,101,10,45,0,0,0,0,0,0,
마산 [김포골드라인],~,2024-12-12(목),0,0,62,7,210,25,474,70,431,178,244,67,157,62,149,87,150,118,126,124,107,137,139,163,219,203,190,232,186,330,76,321,51,223,52,171,41,206,30,107,5,45,0,0,0,0,0,0,
마산 [김포골드라인],~,2024-12-13(금),0,0,69,10,204,21,416,62,417,193,203,113,198,75,156,75,168,148,146,113,144,160,177,162,192,218,222,237,238,344,108,275,69,245,64,192,68,187,20,137,19,76,0,0,0,0,0,0,
마산 [김포골드라인],~,2024-12-14(토),0,0,32,5,58,23,120,25,162,68,197,74,192,60,247,75,237,95,220,146,239,146,170,130,164,189,204,206,124,196,95,200,52,194,37,164,26,153,16,105,0,1,0,0,0,0,0,0,
