정류장명,정류장번호,일자,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
사우(김포시청) [김포골드라인],~,2025-04-20(일),0,0,62,15,98,42,160,62,261,102,309,208,325,210,344,207,355,249,310,281,298,294,295,338,328,337,306,326,220,347,159,287,175,314,131,250,114,248,62,121,0,0,0,0,0,0,0,0,
사우(김포시청) [김포골드라인],~,2025-04-21(월),2,0,138,19,423,94,951,219,849,861,501,458,414,309,439,387,470,370,460,360,420,372,453,484,521,519,537,655,614,895,280,865,206,431,282,343,243,302,82,156,36,68,0,0,0,0,0,0,
사우(김포시청) [김포골드라인],~,2025-04-22(화),2,0,128,18,363,92,936,202,832,797,418,396,345,234,340,282,323,341,462,312,292,351,360,370,432,464,545,632,596,879,248,774,223,403,237,341,254,311,81,167,44,69,0,0,0,0,0,0,
사우(김포시청) [김포골드라인],~,2025-04-23(수),2,0,117,17,412,83,898,210,877,848,507,424,384,309,415,427,516,466,553,468,418,434,488,512,563,561,637,692,582,921,264,835,264,414,275,376,332,346,91,198,41,76,0,0,0,0,0,0,
사우(김포시청) [김포골드라인],~,2025-04-24(목),4,2,114,21,400,101,919,195,880,834,460,455,423,268,455,394,502,394,626,430,436,439,440,494,536,560,664,703,588,944,300,834,257,443,251,432,291,342,79,193,46,90,0,0,0,0,0,0,
사우(김포시청) [김포골드라인],~,2025-04-25(금),1,0,135,16,340,92,908,197,802,858,470,447,453,364,452,410,474,404,483,400,409,468,588,428,611,589,739,836,672,1073,318,811,248,447,471,390,325,406,107,252,56,131,0,0,0,0,0,0,
사우(김포시청) [김포골드라인],~,2025-04-26(토),1,0,92,14,153,60,243,100,364,232,431,338,504,293,450,304,573,344,508,495,462,512,431,432,432,482,617,509,402,434,231,426,208,385,198,405,168,378,76,249,0,0,0,0,0,0,0,0,
사우(김포시청) [김포골드라인],~,2025-04-27(일),1,0,71,11,108,30,167,58,245,90,330,183,294,228,314,219,356,255,385,338,310,273,293,327,292,340,317,380,224,386,176,273,151,276,125,306,137,246,40,137,0,0,0,0,0,0,0,0,
사우(김포시청) [김포골드라인],~,2025-04-28(월),1,0,148,21,411,84,966,209,901,843,500,477,383,297,451,388,464,416,453,428,399,397,542,469,582,533,628,684,681,961,296,849,237,446,264,353,251,316,90,156,41,79,0,0,0,0,0,0,
사우(김포시청) [김포골드라인],~,2025-04-29(화),3,0,113,13,381,88,960,230,928,868,516,481,453,354,446,359,441,366,544,416,422,409,403,434,551,562,643,719,633,965,325,841,242,460,251,396,274,325,74,172,42,78,0,0,0,0,0,0,
사우(김포시청) [김포골드라인],~,2025-04-30(수),1,0,132,19,400,89,927,220,936,787,481,467,410,286,419,353,457,332,523,360,413,443,412,414,589,542,585,734,585,940,293,796,260,489,278,405,263,366,97,257,49,123,0,0,0,0,0,0,
사우(김포시청) [김포골드라인],~,2025-05-01(목),1,0,68,11,155,61,294,115,424,508,315,255,332,165,320,199,270,188,321,216,288,230,271,267,329,455,384,460,352,500,212,354,200,280,232,263,232,279,53,147,33,62,0,0,0,0,0,0,
사우(김포시청) [김포골드라인],~,2025-05-02(금),1,0,108,17,320,78,693,176,695,734,448,420,456,347,484,402,486,381,674,366,562,431,569,480,602,601,581,744,629,928,280,704,244,478,268,355,310,412,92,227,43,121,0,0,0,0,0,0,
사우(김포시청) [김포골드라인],~,2025-05-03(토),0,0,84,13,110,47,198,69,273,180,336,323,369,319,404,275,492,265,411,331,417,379,382,323,422,356,342,421,316,427,208,327,176,296,197,326,154,311,66,166,0,0,0,0,0,0,0,0,
