정류장명,정류장번호,일자,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
양촌 [김포골드라인],~,2024-12-29(일),0,0,2,0,3,3,3,4,12,10,27,8,30,10,13,9,23,10,19,11,10,6,16,3,8,10,25,14,6,10,6,20,1,12,0,5,2,14,0,15,0,0,0,0,0,0,0,0,
양촌 [김포골드라인],~,2024-12-30(월),0,0,8,0,42,15,63,29,38,69,15,46,17,21,23,18,23,19,10,7,33,12,27,13,50,19,73,13,46,19,21,15,6,24,8,21,1,13,1,14,1,4,0,0,0,0,0,0,
양촌 [김포골드라인],~,2024-12-31(화),0,0,6,0,25,16,59,27,30,59,22,38,14,14,17,9,15,9,17,11,23,21,33,6,67,16,47,14,46,16,13,24,6,22,9,14,0,9,0,2,2,3,0,0,0,0,0,0,
양촌 [김포골드라인],~,2025-01-01(수),0,0,3,0,5,2,6,6,6,4,15,5,18,9,12,11,11,5,14,7,12,10,19,6,13,6,17,13,4,3,8,9,6,6,4,10,2,8,0,6,0,1,0,0,0,0,0,0,
양촌 [김포골드라인],~,2025-01-02(목),0,0,6,0,42,15,69,28,40,70,20,40,19,17,15,11,15,12,15,23,18,13,24,21,42,14,69,13,60,30,21,18,4,25,6,8,3,15,2,3,0,2,0,0,0,0,0,0,
양촌 [김포골드라인],~,2025-01-03(금),0,0,4,0,29,14,68,33,40,69,17,25,21,19,11,12,17,10,21,10,19,11,20,10,46,18,68,13,67,20,15,16,5,18,8,9,1,15,2,11,0,4,0,0,0,0,0,0,
양촌 [김포골드라인],~,2025-01-04(토),0,0,6,0,10,9,16,10,23,7,23,7,18,12,21,15,20,10,25,13,24,17,21,22,26,14,21,15,19,7,12,20,14,12,7,9,2,13,0,9,0,1,0,0,0,0,0,0,
양촌 [김포골드라인],~,2025-01-05(일),0,0,3,0,4,4,7,0,11,14,13,11,11,19,23,6,18,6,23,15,12,12,14,8,15,8,7,14,9,13,6,15,1,3,0,4,5,16,1,10,0,0,0,0,0,0,0,0,
양촌 [김포골드라인],~,2025-01-06(월),0,0,6,0,42,12,77,30,34,74,31,41,14,20,19,12,11,18,24,21,18,16,22,18,46,20,68,20,64,21,11,24,7,22,4,3,3,16,0,4,1,1,0,0,0,0,0,0,
양촌 [김포골드라인],~,2025-01-07(화),0,0,9,0,32,15,70,32,39,68,22,29,15,18,12,15,9,13,17,17,21,10,18,17,40,15,51,14,72,20,14,25,8,12,5,14,5,7,3,6,2,4,0,0,0,0,0,0,
양촌 [김포골드라인],~,2025-01-08(수),0,0,6,0,36,14,78,28,35,67,25,36,20,23,13,8,18,14,17,12,23,14,19,12,55,13,63,29,78,21,6,22,11,21,6,12,3,10,1,8,0,1,0,1,0,0,0,0,
양촌 [김포골드라인],~,2025-01-09(목),0,0,7,0,39,16,74,33,37,61,20,36,16,22,14,14,13,16,15,8,22,6,14,4,49,10,53,14,68,22,12,20,11,21,10,16,2,15,5,9,1,7,0,1,0,0,0,0,
양촌 [김포골드라인],~,2025-01-10(금),0,0,5,0,39,19,73,40,32,61,21,36,14,27,10,13,17,18,15,10,19,6,22,12,51,17,71,11,60,16,16,29,8,13,23,15,3,14,2,9,2,10,0,0,0,0,0,0,
양촌 [김포골드라인],~,2025-01-11(토),0,0,8,0,9,8,18,6,26,1,16,1,26,19,29,11,28,10,21,9,14,9,25,31,31,16,22,20,8,11,12,10,6,16,7,7,3,13,0,14,0,1,0,0,0,0,0,0,
