정류장명,정류장번호,일자,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
운양 [김포골드라인],~,2025-05-18(일),0,0,40,11,66,27,109,47,171,86,206,145,231,154,178,141,241,172,314,231,301,216,252,273,276,295,205,274,258,270,182,258,142,212,150,233,73,172,52,87,0,0,0,0,0,0,0,0,
운양 [김포골드라인],~,2025-05-19(월),1,0,140,21,450,71,892,166,786,430,406,292,257,221,246,195,268,268,272,272,219,257,316,277,369,385,410,458,397,652,224,665,167,328,183,249,149,237,82,140,12,48,0,0,0,0,0,0,
운양 [김포골드라인],~,2025-05-20(화),2,0,127,26,374,81,914,158,801,490,437,323,264,203,248,208,250,259,283,257,259,251,269,289,500,367,403,529,352,650,249,663,165,366,241,256,179,273,63,139,32,53,0,0,0,0,0,0,
운양 [김포골드라인],~,2025-05-21(수),0,0,109,26,389,92,865,158,788,481,405,285,252,241,266,221,236,257,249,256,259,250,278,271,381,415,454,482,449,673,276,615,209,341,209,282,186,288,80,133,35,87,0,0,0,0,0,0,
운양 [김포골드라인],~,2025-05-22(목),1,0,109,30,364,87,907,149,791,457,420,282,283,208,275,212,256,277,256,296,246,271,307,269,468,362,342,487,406,661,243,584,198,361,230,291,184,286,84,164,23,95,0,0,0,0,0,0,
운양 [김포골드라인],~,2025-05-23(금),0,0,133,24,363,87,829,142,757,435,399,296,290,246,255,219,244,262,303,271,298,297,341,362,447,407,394,526,429,730,296,561,229,352,201,292,188,292,107,199,34,97,0,0,0,0,0,0,
운양 [김포골드라인],~,2025-05-24(토),0,0,68,12,95,50,159,86,290,181,317,289,287,194,350,225,371,252,380,279,361,261,319,336,332,366,291,366,310,373,172,261,188,244,162,229,112,217,50,154,0,0,0,0,0,0,0,0,
운양 [김포골드라인],~,2025-05-25(일),0,0,35,12,74,39,98,52,167,83,190,160,257,151,245,158,239,192,249,220,284,211,228,254,213,251,195,266,179,260,166,246,158,166,148,197,88,160,45,106,0,0,0,0,0,0,0,0,
운양 [김포골드라인],~,2025-05-26(월),3,1,133,19,432,75,901,144,762,447,373,288,258,211,254,232,262,275,291,289,241,245,296,272,306,391,480,449,415,659,243,602,177,353,198,251,144,268,59,147,24,57,0,0,0,0,0,0,
운양 [김포골드라인],~,2025-05-27(화),1,0,124,27,415,84,932,161,817,464,414,313,290,247,261,234,287,238,271,294,265,262,300,281,415,377,363,530,388,666,235,602,198,393,230,255,164,273,77,151,28,58,0,0,0,0,0,0,
운양 [김포골드라인],~,2025-05-28(수),1,0,112,27,418,88,854,151,849,517,410,288,250,223,255,216,231,272,273,286,273,250,298,271,339,463,447,483,458,692,264,650,237,331,213,269,188,290,92,144,36,71,0,0,0,0,0,0,
운양 [김포골드라인],~,2025-05-29(목),1,0,120,22,413,94,870,146,801,445,389,268,257,218,286,203,213,248,257,296,250,293,318,296,458,374,361,507,399,637,247,617,215,344,182,301,180,292,92,170,30,53,0,0,0,0,0,0,
운양 [김포골드라인],~,2025-05-30(금),1,0,119,32,363,80,835,153,733,464,361,277,280,221,262,195,264,288,274,294,263,299,345,349,464,402,411,557,428,671,302,561,264,349,214,267,190,281,107,167,36,83,0,0,0,0,0,0,
운양 [김포골드라인],~,2025-05-31(토),0,0,56,16,95,64,148,80,278,193,277,286,294,213,323,225,360,239,299,281,324,286,367,254,360,332,318,300,282,335,203,282,167,198,133,211,135,198,54,162,0,0,0,0,0,0,0,0,
