정류장명,정류장번호,일자,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
운양 [김포골드라인],~,2024-12-01(일),0,0,29,17,71,47,90,47,136,70,226,147,264,133,201,165,204,199,307,232,274,210,279,253,219,302,250,261,192,265,138,211,127,153,149,188,96,143,27,84,0,0,0,0,0,0,0,0,
운양 [김포골드라인],~,2024-12-02(월),3,0,125,21,460,83,895,144,784,451,459,301,315,207,250,184,278,263,270,256,266,285,289,323,359,348,446,494,401,684,214,579,182,358,180,297,174,252,69,162,21,43,0,0,0,0,0,0,
운양 [김포골드라인],~,2024-12-03(화),1,0,115,23,422,72,887,150,842,458,391,311,263,185,260,203,273,230,264,279,290,236,303,331,460,370,365,476,367,711,257,654,204,372,203,281,195,257,72,143,32,64,0,0,0,0,0,0,
운양 [김포골드라인],~,2024-12-04(수),2,0,115,25,388,67,846,148,762,466,381,311,290,204,257,202,242,265,276,317,308,258,377,333,434,423,478,438,372,692,255,574,220,337,195,262,182,291,54,137,26,61,0,0,0,0,0,0,
운양 [김포골드라인],~,2024-12-05(목),1,0,111,26,390,70,883,149,737,439,400,294,267,199,254,220,248,214,276,281,261,247,308,299,458,354,319,500,400,668,212,539,227,381,216,295,170,319,72,172,31,70,0,0,0,0,0,0,
운양 [김포골드라인],~,2024-12-06(금),0,0,97,22,375,73,784,150,753,437,392,279,291,161,283,176,254,256,271,310,312,297,363,390,460,405,386,508,458,656,235,583,210,366,210,285,182,300,96,178,49,106,0,0,0,0,0,0,
운양 [김포골드라인],~,2024-12-07(토),0,0,59,24,67,46,134,69,252,172,323,258,323,197,351,256,368,254,418,257,523,315,418,275,399,330,324,337,248,378,205,323,132,293,159,258,97,215,59,173,0,0,0,0,0,0,0,0,
운양 [김포골드라인],~,2024-12-08(일),0,0,37,13,70,44,83,47,137,59,214,142,217,162,215,171,239,178,234,211,285,251,258,225,251,263,188,274,196,232,141,189,122,160,137,167,79,135,32,77,0,0,0,0,0,0,0,0,
운양 [김포골드라인],~,2024-12-09(월),2,0,132,24,459,85,886,143,724,403,399,276,286,213,225,197,239,270,364,275,330,262,270,343,390,422,343,441,380,626,219,613,182,400,178,271,160,226,60,122,29,41,0,0,0,0,0,0,
운양 [김포골드라인],~,2024-12-10(화),1,0,110,32,412,71,843,139,784,448,409,271,285,218,254,225,278,266,384,326,294,281,359,329,372,396,346,464,351,638,266,558,213,336,191,325,173,255,72,158,32,70,0,0,0,0,0,0,
운양 [김포골드라인],~,2024-12-11(수),2,0,112,25,381,73,866,138,761,452,416,330,247,226,253,211,248,266,376,367,393,284,433,316,443,357,396,458,378,708,221,585,208,352,210,291,159,252,66,151,26,59,0,0,0,0,0,0,
운양 [김포골드라인],~,2024-12-12(목),1,0,107,27,397,78,860,155,752,399,397,287,287,164,291,194,255,242,385,326,388,356,369,323,416,416,390,535,358,666,233,575,199,359,201,304,152,284,83,181,30,80,0,0,0,0,0,0,
운양 [김포골드라인],~,2024-12-13(금),1,0,108,28,362,69,782,145,731,412,412,352,295,193,361,257,493,294,436,358,349,300,352,374,467,438,452,508,444,756,279,561,249,352,217,281,174,330,123,221,38,107,0,0,0,0,0,0,
운양 [김포골드라인],~,2024-12-14(토),0,0,41,22,85,47,141,76,207,153,284,240,338,194,384,210,455,216,491,237,466,307,415,333,395,371,311,387,222,390,220,377,159,342,196,279,122,271,52,177,0,0,0,0,0,0,0,0,
