정류장명,정류장번호,일자,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
장기 [김포골드라인],~,2025-02-09(일),2,0,71,4,75,43,147,70,203,98,327,155,310,211,294,179,336,194,350,239,413,297,342,329,333,393,296,312,264,385,195,278,166,302,137,306,82,241,57,170,0,0,0,0,0,0,0,0,
장기 [김포골드라인],~,2025-02-10(월),0,0,182,23,535,86,1049,194,877,474,525,432,472,298,442,315,431,361,483,474,551,412,384,457,457,489,463,650,485,895,279,855,221,492,203,372,209,360,105,181,39,104,0,0,0,0,0,0,
장기 [김포골드라인],~,2025-02-11(화),2,0,165,18,498,73,1020,189,967,485,550,452,440,282,535,326,391,384,493,437,420,414,457,501,491,515,431,662,473,966,286,802,207,502,226,381,220,388,100,189,44,113,0,0,0,0,0,0,
장기 [김포골드라인],~,2025-02-12(수),3,0,173,22,488,77,1086,194,940,510,563,396,415,264,466,272,455,387,429,388,347,348,470,464,418,498,420,641,513,955,301,784,215,505,231,380,209,402,86,226,39,130,0,0,0,0,0,0,
장기 [김포골드라인],~,2025-02-13(목),1,0,161,25,450,77,1035,195,979,468,565,400,493,308,464,327,472,434,457,412,498,447,442,501,482,570,489,635,476,889,245,792,220,526,247,424,246,432,85,237,53,138,0,0,0,0,0,0,
장기 [김포골드라인],~,2025-02-14(금),2,0,166,19,429,70,954,206,959,542,700,538,556,398,486,309,558,413,459,479,464,423,436,518,639,611,505,708,579,901,369,832,254,484,276,421,231,449,106,294,58,161,0,0,0,0,0,0,
장기 [김포골드라인],~,2025-02-15(토),1,0,94,17,107,64,225,109,376,245,431,282,555,254,532,358,487,378,567,402,561,403,443,430,499,461,433,565,272,536,226,453,208,379,203,333,164,314,64,267,0,0,0,0,0,0,0,0,
장기 [김포골드라인],~,2025-02-16(일),1,0,73,12,115,47,141,64,268,108,338,167,352,235,362,190,346,250,440,306,407,358,373,328,351,393,315,418,237,398,186,329,168,298,142,303,123,248,57,181,0,0,0,0,0,0,0,0,
장기 [김포골드라인],~,2025-02-17(월),2,0,179,21,509,82,1021,193,931,544,583,415,499,298,512,351,500,390,471,477,435,435,404,498,517,550,448,576,487,930,306,872,220,504,242,432,204,379,91,195,36,105,0,0,0,0,0,0,
장기 [김포골드라인],~,2025-02-18(화),1,0,179,23,495,75,1051,176,960,501,562,426,404,269,450,331,516,407,533,437,423,401,400,481,543,488,469,663,451,997,295,782,220,497,238,393,229,375,114,217,35,107,0,0,0,0,0,0,
장기 [김포골드라인],~,2025-02-19(수),1,0,160,21,452,76,1030,184,963,520,595,376,401,260,406,287,504,399,450,462,344,379,401,460,493,551,460,639,487,946,284,814,231,501,250,409,222,384,77,230,34,103,0,0,0,0,0,0,
장기 [김포골드라인],~,2025-02-20(목),2,0,181,21,434,83,1022,174,936,475,535,434,555,289,445,363,419,378,470,509,548,443,445,441,508,552,462,656,462,923,247,785,264,497,256,414,222,397,108,237,49,123,0,0,0,0,0,0,
장기 [김포골드라인],~,2025-02-21(금),1,0,181,16,437,82,956,183,917,498,543,422,492,251,477,319,476,399,461,450,491,432,494,489,533,570,493,680,562,932,290,769,258,527,232,427,245,402,104,284,44,187,0,0,0,0,0,0,
장기 [김포골드라인],~,2025-02-22(토),3,0,85,13,116,58,234,124,338,235,525,274,523,275,561,330,593,406,554,402,595,377,484,481,503,504,453,543,298,514,258,452,181,396,188,377,154,368,63,226,0,0,0,0,0,0,0,0,
