정류장명,정류장번호,일자,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
장기 [김포골드라인],~,2024-12-01(일),0,0,78,9,96,51,113,73,223,109,322,202,386,202,353,202,363,246,429,330,397,371,360,369,363,386,418,433,299,344,187,348,158,307,144,240,95,234,34,140,0,0,0,0,0,0,0,0,
장기 [김포골드라인],~,2024-12-02(월),1,0,189,18,591,80,1136,215,982,566,589,467,482,343,462,276,478,395,382,415,353,401,400,468,501,496,506,697,465,944,287,828,225,496,217,355,231,364,105,201,31,82,0,0,0,0,0,0,
장기 [김포골드라인],~,2024-12-03(화),2,0,171,23,528,83,1091,206,1007,630,617,411,474,252,421,296,455,402,378,423,390,386,352,445,564,560,513,687,464,977,305,780,239,497,243,409,254,347,90,224,42,99,0,0,0,0,0,0,
장기 [김포골드라인],~,2024-12-04(수),2,0,173,22,448,85,1063,197,979,576,513,416,419,268,471,291,398,349,373,375,348,378,459,471,550,603,423,697,499,923,231,821,263,481,271,419,233,358,97,197,32,98,0,0,0,0,0,0,
장기 [김포골드라인],~,2024-12-05(목),2,0,173,23,497,81,1039,209,997,572,559,395,425,253,496,294,339,308,358,349,358,369,348,400,501,521,462,723,425,892,250,778,221,464,236,406,219,413,109,215,48,125,0,0,0,0,0,0,
장기 [김포골드라인],~,2024-12-06(금),0,0,149,21,430,83,998,184,926,603,517,431,433,284,500,321,417,364,524,405,412,367,512,512,541,590,503,768,531,911,337,871,270,503,267,383,254,457,101,277,66,152,0,0,0,0,0,0,
장기 [김포골드라인],~,2024-12-07(토),0,0,86,20,112,67,210,99,337,240,431,302,598,253,484,341,535,346,585,415,671,427,575,440,514,445,412,492,285,547,216,496,244,449,180,404,158,342,70,317,0,0,0,0,0,0,0,0,
장기 [김포골드라인],~,2024-12-08(일),0,0,65,7,78,50,137,64,233,119,352,195,347,227,282,226,343,212,359,258,362,326,335,319,328,383,289,361,326,373,225,295,146,255,152,284,105,210,41,145,0,0,0,0,0,0,0,0,
장기 [김포골드라인],~,2024-12-09(월),1,0,164,18,560,82,1067,222,953,592,548,380,445,268,526,259,413,340,395,476,372,411,464,478,475,507,424,647,454,899,265,814,213,496,236,373,198,351,84,177,49,81,0,0,0,0,0,0,
장기 [김포골드라인],~,2024-12-10(화),3,0,177,23,499,88,1078,208,1019,592,557,394,442,249,449,306,507,388,421,493,362,363,394,469,485,585,506,650,429,891,314,765,221,498,196,367,175,371,99,207,38,107,0,0,0,0,0,0,
장기 [김포골드라인],~,2024-12-11(수),1,0,152,25,515,71,1054,223,986,591,547,373,462,254,396,312,460,332,446,442,389,422,395,471,545,547,456,739,463,932,273,761,251,450,256,376,195,387,82,212,49,89,0,0,0,0,0,0,
장기 [김포골드라인],~,2024-12-12(목),1,0,155,24,494,94,1065,211,952,608,596,411,497,276,441,350,489,349,557,449,489,443,480,559,590,577,517,716,451,854,290,814,271,505,205,398,197,390,83,256,47,119,0,0,0,0,0,0,
장기 [김포골드라인],~,2024-12-13(금),2,0,152,25,449,85,963,209,948,587,581,413,497,329,538,349,520,429,487,447,452,437,498,552,700,610,585,739,557,964,321,804,272,565,243,421,227,481,125,305,37,173,0,0,0,0,0,0,
장기 [김포골드라인],~,2024-12-14(토),0,0,85,14,111,73,212,100,360,237,475,282,539,238,652,320,580,375,696,362,654,360,620,392,567,496,387,602,300,618,220,538,202,521,229,419,138,386,65,256,0,0,0,0,0,0,0,0,
