정류장명,정류장번호,일자,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
풍무 [김포골드라인],~,2025-10-05(일),0,0,41,9,67,36,123,35,117,54,141,93,198,117,183,131,199,141,183,174,227,177,193,162,192,179,152,203,132,176,89,170,99,152,71,143,41,128,18,83,0,0,0,0,0,0,0,0,
풍무 [김포골드라인],~,2025-10-06(월),0,0,27,4,40,27,87,41,85,50,75,48,114,74,170,86,144,94,140,113,140,111,144,115,110,165,115,116,117,118,77,104,75,108,57,89,43,128,9,75,0,0,0,0,0,0,0,0,
풍무 [김포골드라인],~,2025-10-07(화),0,0,29,5,43,25,72,35,111,29,119,82,154,98,181,104,214,103,214,142,181,150,190,160,199,173,158,186,125,191,93,175,81,168,57,150,39,168,29,112,0,0,0,0,0,0,0,0,
풍무 [김포골드라인],~,2025-10-08(수),0,0,32,6,47,40,120,52,162,67,190,97,259,105,255,118,268,121,260,171,227,154,249,169,215,278,182,246,143,291,127,233,92,262,88,235,55,210,31,171,0,0,0,0,0,0,0,0,
풍무 [김포골드라인],~,2025-10-09(목),0,0,40,4,54,40,125,54,173,96,212,113,240,114,311,180,294,116,291,145,245,182,227,229,238,244,194,289,173,276,98,276,93,254,62,212,66,234,23,120,0,0,0,0,0,0,0,0,
풍무 [김포골드라인],~,2025-10-10(금),0,0,85,11,287,68,629,98,545,202,351,165,293,150,277,141,246,196,256,227,248,213,242,265,295,284,294,398,300,642,138,632,97,344,90,287,74,270,32,191,16,86,0,0,0,0,0,0,
풍무 [김포골드라인],~,2025-10-11(토),0,0,44,6,74,53,164,57,243,110,257,142,312,141,327,158,349,191,346,241,296,248,284,274,304,314,232,311,194,319,134,243,82,214,68,209,66,244,30,138,0,0,0,0,0,0,0,0,
풍무 [김포골드라인],~,2025-10-12(일),0,0,31,8,71,36,109,37,160,85,263,114,248,86,260,156,296,132,268,195,234,198,203,256,249,300,182,256,161,252,112,247,79,176,64,214,53,174,23,95,0,0,0,0,0,0,0,0,
풍무 [김포골드라인],~,2025-10-13(월),0,0,150,19,539,70,1065,108,908,247,386,218,272,131,271,156,274,180,211,203,203,238,203,250,207,359,256,502,224,974,121,927,112,476,82,331,59,318,39,147,13,60,0,0,0,0,0,0,
풍무 [김포골드라인],~,2025-10-14(화),0,0,129,20,462,73,1096,120,941,279,460,207,339,146,294,170,297,228,218,244,225,225,234,337,286,414,327,583,287,914,142,985,129,463,73,374,99,339,41,161,17,67,0,0,0,0,0,0,
풍무 [김포골드라인],~,2025-10-15(수),1,1,116,20,464,80,1015,131,936,285,449,195,278,136,279,182,256,211,221,226,198,285,253,296,298,415,330,600,287,896,152,897,97,452,79,370,96,339,33,172,13,58,0,0,0,0,0,0,
풍무 [김포골드라인],~,2025-10-16(목),0,0,132,16,461,90,1012,118,968,302,431,251,301,182,296,176,304,207,295,237,239,283,276,291,303,393,323,622,324,935,142,910,135,462,95,404,87,351,47,176,19,84,0,0,0,0,0,0,
풍무 [김포골드라인],~,2025-10-17(금),3,0,140,21,430,83,991,138,896,323,488,226,308,176,340,211,279,231,255,261,263,310,330,375,324,430,335,601,359,890,184,822,119,442,97,351,104,354,39,219,17,100,0,0,0,0,0,0,
풍무 [김포골드라인],~,2025-10-18(토),0,0,42,10,102,48,215,69,313,143,350,218,382,192,393,192,372,245,425,276,323,314,371,318,431,332,395,340,313,321,192,291,95,290,85,447,61,337,40,183,0,0,0,0,0,0,0,0,
