정류장명,정류장번호,일자,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
풍무 [김포골드라인],~,2025-07-27(일),0,0,40,10,70,37,102,42,160,73,215,118,208,120,185,134,218,136,212,179,208,184,157,175,227,236,165,245,177,294,145,225,104,204,85,240,70,225,20,114,0,0,0,0,0,0,0,0,
풍무 [김포골드라인],~,2025-07-28(월),0,0,119,19,409,69,847,120,767,212,391,229,314,150,246,149,249,208,249,233,208,235,211,238,274,304,251,463,249,870,150,820,120,445,94,340,97,319,36,164,21,59,0,0,0,0,0,0,
풍무 [김포골드라인],~,2025-07-29(화),0,0,117,20,397,71,858,110,761,240,386,198,275,137,290,159,256,197,201,241,213,198,219,236,258,334,306,443,253,866,122,765,107,399,99,376,100,329,42,171,17,72,0,0,0,0,0,0,
풍무 [김포골드라인],~,2025-07-30(수),0,0,119,13,379,78,874,105,733,257,371,190,317,130,286,161,291,226,261,222,256,226,236,253,280,326,296,457,243,802,135,775,114,417,89,373,109,387,33,189,19,74,0,0,0,0,0,0,
풍무 [김포골드라인],~,2025-07-31(목),0,0,98,14,368,77,856,101,724,226,379,181,310,146,289,173,255,204,238,217,223,222,228,235,264,353,271,463,306,794,129,777,123,418,100,384,91,359,39,195,11,91,0,0,0,0,0,0,
풍무 [김포골드라인],~,2025-08-01(금),0,0,108,13,359,77,769,107,662,222,388,188,268,145,267,150,285,193,247,211,239,239,206,302,296,328,336,505,290,798,157,692,165,354,104,354,102,328,41,183,13,92,0,0,0,0,0,0,
풍무 [김포골드라인],~,2025-08-02(토),0,0,36,9,93,63,168,73,247,106,257,132,274,146,290,165,327,134,319,260,263,229,247,251,277,273,219,287,178,264,132,266,129,262,84,246,58,255,43,168,0,0,0,0,0,0,0,0,
풍무 [김포골드라인],~,2025-08-03(일),0,0,38,3,68,37,124,35,146,63,204,98,197,109,201,147,232,116,217,179,186,180,186,201,230,238,178,214,156,210,114,187,77,185,65,216,47,175,19,121,0,0,0,0,0,0,0,0,
풍무 [김포골드라인],~,2025-08-04(월),0,0,131,17,396,82,824,108,772,251,401,169,241,153,289,196,230,208,200,244,250,227,237,244,266,319,278,450,232,843,145,822,112,399,86,313,82,288,30,147,12,53,0,0,0,0,0,0,
풍무 [김포골드라인],~,2025-08-05(화),0,0,120,16,407,77,873,107,777,252,370,173,298,139,301,163,255,213,232,231,229,236,260,283,312,352,280,482,254,849,148,840,123,395,102,355,78,298,42,172,9,85,0,0,0,0,0,0,
풍무 [김포골드라인],~,2025-08-06(수),0,0,110,19,378,68,880,108,762,254,382,166,260,125,263,154,253,197,204,206,219,257,208,232,273,296,279,461,248,861,145,762,100,355,108,351,92,343,33,200,21,60,0,0,0,0,0,0,
풍무 [김포골드라인],~,2025-08-07(목),0,0,116,20,380,89,869,112,812,236,422,183,322,132,273,166,270,182,217,217,213,189,266,244,272,377,278,486,285,861,155,698,107,411,102,394,84,365,36,184,13,82,0,0,0,0,0,0,
풍무 [김포골드라인],~,2025-08-08(금),0,0,109,12,358,74,803,113,779,237,412,205,290,156,265,141,261,204,237,252,254,236,261,303,268,349,349,552,359,833,179,705,130,374,113,364,102,366,49,251,18,88,0,0,0,0,0,0,
풍무 [김포골드라인],~,2025-08-09(토),1,0,52,9,89,57,179,73,279,132,307,164,302,143,328,159,374,171,294,258,294,261,268,236,307,302,243,309,215,282,123,264,122,221,91,245,90,277,42,172,0,0,0,0,0,0,0,0,
