정류장명,정류장번호,일자,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
풍무 [김포골드라인],~,2024-12-01(일),0,0,25,6,73,29,130,36,205,73,228,84,240,116,273,131,303,191,274,202,258,262,287,294,221,281,198,298,145,271,136,236,109,231,96,245,58,202,17,85,0,0,0,0,0,0,0,0,
풍무 [김포골드라인],~,2024-12-02(월),0,0,160,19,450,74,910,124,878,258,475,226,354,190,360,178,295,192,249,240,238,277,257,354,265,376,339,577,284,891,144,978,128,480,112,403,74,308,35,182,10,47,0,0,0,0,0,0,
풍무 [김포골드라인],~,2024-12-03(화),0,0,124,16,431,74,883,132,911,233,452,219,331,157,281,169,288,210,266,257,245,285,252,298,292,393,344,600,267,879,162,910,111,444,100,403,81,333,33,201,25,71,0,0,0,0,0,0,
풍무 [김포골드라인],~,2024-12-04(수),0,0,141,12,423,77,831,118,862,236,476,193,334,162,282,155,336,195,251,280,262,253,244,338,334,388,336,586,288,901,160,844,122,479,120,423,85,345,47,180,17,69,1,0,0,0,0,0,
풍무 [김포골드라인],~,2024-12-05(목),1,0,135,18,398,79,838,123,896,230,431,202,343,146,297,166,305,212,274,234,247,266,244,312,321,421,343,537,303,848,146,836,111,461,89,417,92,405,39,237,24,98,0,0,0,0,0,0,
풍무 [김포골드라인],~,2024-12-06(금),0,0,121,14,412,67,791,123,807,214,460,210,372,157,276,164,294,221,257,276,269,272,257,367,333,377,421,621,358,827,176,816,133,436,138,409,108,410,51,217,32,135,0,0,0,0,0,0,
풍무 [김포골드라인],~,2024-12-07(토),0,0,60,12,86,71,183,84,265,110,343,159,433,173,412,201,458,220,472,298,414,310,436,275,396,351,304,338,206,369,118,390,118,325,94,299,51,299,25,192,0,0,0,0,0,0,0,0,
풍무 [김포골드라인],~,2024-12-08(일),0,0,32,3,70,40,113,46,172,83,279,110,249,124,236,112,271,160,252,200,270,220,269,280,279,305,190,277,176,266,123,282,96,206,98,228,64,177,31,89,0,0,0,0,0,0,0,0,
풍무 [김포골드라인],~,2024-12-09(월),0,0,137,15,453,81,839,124,829,224,484,200,326,168,288,168,293,200,237,215,249,261,282,348,323,435,329,527,250,918,143,912,129,484,96,418,84,335,41,155,18,67,0,0,0,0,0,0,
풍무 [김포골드라인],~,2024-12-10(화),0,0,144,12,438,75,845,126,868,249,462,190,325,181,312,192,307,203,328,257,240,304,267,346,320,438,355,511,296,918,143,874,110,470,100,389,88,329,44,212,16,70,0,0,0,0,0,0,
풍무 [김포골드라인],~,2024-12-11(수),0,0,134,8,383,72,857,121,827,229,496,185,378,162,307,158,317,188,263,270,236,275,268,354,303,426,326,504,302,880,148,836,115,433,74,433,71,386,47,221,18,74,0,0,0,0,0,0,
풍무 [김포골드라인],~,2024-12-12(목),2,0,134,15,389,85,855,136,865,234,444,231,383,180,334,205,336,198,301,261,304,317,304,337,360,398,400,595,299,896,152,808,114,444,95,451,95,406,45,257,20,80,0,0,0,0,0,0,
풍무 [김포골드라인],~,2024-12-13(금),0,0,132,15,383,75,793,155,831,245,468,227,339,167,316,223,316,233,298,287,247,314,367,360,415,417,457,549,394,832,188,752,146,461,137,428,93,410,46,269,29,143,0,0,0,0,0,0,
풍무 [김포골드라인],~,2024-12-14(토),2,0,63,5,95,56,176,82,282,114,362,148,411,148,468,205,520,220,543,264,520,297,362,302,419,368,280,419,206,403,125,374,120,406,87,347,72,300,28,212,1,0,0,0,0,0,0,0,
